,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
0,blacksquare_art,"When you enter the Blacksquare, free yourself from any prejudices.

The Blacksquare stands against any kind of discrimination, racism, war, oppression. 

We are Blacksquare!

⬛️OBEY YOURSELF⬛️

#Blacksquare #NFT #Peace #NoToWar #Notoracism #Equality",https://twitter.com/blacksquare_art/status/1531698806810632196,11,1,6843,
1,GiulioTesty,"@_NFTsArt @cybotz_nft one of the most iconic symbols of Art's History and culture, against any discrimination, embracing diversity✊https://t.co/WxKssBIrYd https://t.co/jLheOa0gLl",https://twitter.com/GiulioTesty/status/1531529902037794817,3,1,2074,"['_NFTsArt', 'cybotz_nft']"
2,haider_kami,"@MagicFaceNFT  Why not draw the face? Because I want a world without facial discrimination anxiety a world where you can be cool without a face. JOIN US 👇
https://t.co/4C0LGYDvZ2
#NFT #NFTs #NFTCommunity #NFTGiveaways #NFTGiveway #NFTArts #NFTProject #NFTdrops  #magicfacenft",https://twitter.com/haider_kami/status/1530775076794249216,4,0,321,['MagicFaceNFT']
3,poma_nft,"GM to the women in web3 who don't let mansplaining, condescension &amp; flat out discrimination stop them from creating &amp; taking up space in web3 https://t.co/g79lKGskOW",https://twitter.com/poma_nft/status/1530730646804385792,34,2,1897,
4,PlanetaryWork,"True love is expressed to everyone. There is no discrimination or judgement. True love is kool ❤️

#koolcatz #nft #nfts #NFTartist #nftart #nftartists #nftcommunity #bayc #mayc #crypto #digitalart #art #nftcollector https://t.co/iQdYBBHPsv",https://twitter.com/PlanetaryWork/status/1530555252516306952,10,2,3222,
5,JebinGeoB,"#WeAreOne.
As the hashtag implies @HelloPantha  has carved a niche for themselves in the NFT space with a vision to built a haven for people, shattering the walls of discrimination and to seek Unity in Diversity. Out of love and respect, I submit my art here. Love J ❤ https://t.co/BpuSwujqo3",https://twitter.com/JebinGeoB/status/1530129290498478080,40,17,174,['HelloPantha']
6,alexjmingolla,NFT Twitter folks hide behind jpegs to avoid discrimination and still find ways to discriminate based on what animal pfp you own ☠️,https://twitter.com/alexjmingolla/status/1529945618709463040,21,0,11974,
7,CMA_NFT,@atulmakescenes Bud you forgot about price in $sol man 🤷🏼 what’s with the discrimination about us “poor” people 😅😂🤷🏼,https://twitter.com/CMA_NFT/status/1529904471731490829,1,0,658,['atulmakescenes']
8,nft_dealer,"@misantos888 @IsekaiMeta honestly, I think it's the fact that there was so many first-time watchers that touches me the most. 💖 with so much discrimination STILL happening towards queer people, gathering a community to just enjoy and celebrate queer culture is the BEST. DOULLAHHHHZ.",https://twitter.com/nft_dealer/status/1529825712525299718,2,0,620,"['misantos888', 'IsekaiMeta']"
9,KaiOnNFTs,"Came to NFT twitter to escape regular twitter and now I’m seeing: “The rich get richer” tweets (influencers getting hype WL), infighting &amp; discrimination based on PFP value/Chain, Guys offering Jpegs to talk a woman, etc. Things never change

#NFT #Solana #Ethereum #NFTCommunity",https://twitter.com/KaiOnNFTs/status/1529574720274075648,10,0,510,
