,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
0,TocoDeco,"More hybrid 3D art / Music NFTs.

I like how NFT art can be so diverse 🖼

#NfTart #NfTartist #NfTcurator #NfTartists #NFT",https://twitter.com/TocoDeco/status/1531774562261680129,4,1,4956,
1,AlphadogsRun,"🚨 Live from Twitch - 

👋 Welcome Olivia from @devhouseagency to our live stream 

📷 brings over 15 years professional experience across photography and cinematography and diverse skills to the team working across the @AlphadogsRun game dev.

🎮 alpha testing on track #nft",https://twitter.com/AlphadogsRun/status/1531749402393837568,6,0,1246,"['devhouseagency', 'AlphadogsRun']"
2,Purpol11,"@FatCatsCapital Love what these guys are bringing to the spce, teaming up with a diverse 🧠 Royal Council to act as an accelerator for new projects to come.

#SolanaNFTs #Solana #NFT https://t.co/CKmHPy3gf2",https://twitter.com/Purpol11/status/1531727343529738246,2,0,527,['FatCatsCapital']
3,SimpleSwap_io,"💙 We’re glad to welcome the @DEGO_finance community on our platform! #DEGO is a #decentralized ecosystem that offers a diverse combination of #NFT and #DeFi tools. 

➡️ $DEGO token is now available to exchange with more than 500 assets on SimpleSwap: https://t.co/hu1cs93xdt https://t.co/208FiLqve3",https://twitter.com/SimpleSwap_io/status/1531701637835800576,18,8,51948,['dego_finance']
4,SENDYOURNFT,"Not just any game, Solmerians is an AA game. You can mint your avatars and earn money by participating in diverse tourneys. https://t.co/EFXPO0GCCt #NFTCommunity #NFTGiveaways #NFT",https://twitter.com/SENDYOURNFT/status/1531677524085747712,2,0,979,
5,kellymooreart,My Collection is DIVERSE and COMPLEX which doesn’t sell well in the NFT community but I’ve never been able to repeat the same image over and over as my vocabulary is large and my vision huge…#NFTartist https://t.co/KpdXmCciDm,https://twitter.com/kellymooreart/status/1531672055153688576,33,9,11394,
6,Artpeaceuk,"@CatherineFlick @nibzy A believe the NFT market is diverse. I would contend there is an identifiable 'Arts' segment, set appart from the world of Apes. Punks &amp; AI. Typically they are 1/1 and not AI generated and come with a claimable original in the unlockable content.",https://twitter.com/Artpeaceuk/status/1531643868428570626,1,0,67,"['CatherineFlick', 'nibzy']"
7,Stretchedwiener,"@AliveTypeIdiot @Iron_Spike Not the point. She's seeing a huge wave of resentment from a magnificently DIVERSE group of artists who are mad about her tracing art and passing it off as her own and mad about her racist tweets and her response is ""those old white men hate nft's - that's what's going on!""",https://twitter.com/Stretchedwiener/status/1531638591641767936,2,0,16381,"['AliveTypeIdiot', 'Iron_Spike']"
8,Hedgehog_avatar,"The new collection is very diverse and unique 🐑
Get your sheep on the Sologenic Marketplace.

https://t.co/K8Q6Dj0DZp
#NFTs #XRPL #Sologenic #XRPArmy #NFTMarketplace #nftart #xrp #NFTCollector #NFTGame #NFT #NFTartists #NFTshill https://t.co/F5bwS4dqaG",https://twitter.com/Hedgehog_avatar/status/1531591362516246533,18,5,307,
9,vedao_official,"#NFT is not just trendings, it's the insurance to creators. 

- full ownership of creations
- fewer commissions for platforms
- a diverse environment in the marketplace
- better display on social media

Still early, but #veDAO would love to push this industry forward. #NFTcreator https://t.co/LZ4y4gmAZ5",https://twitter.com/vedao_official/status/1531581993045004289,10,3,13085,
10,unframes444,"My first drop #nft 🔥

unframes Collection
#001-002
Go out into the world with my diverse creatures.

https://t.co/Dv2fMEM57G

#NFTCommunity #NFTTHAILAND #nft #NFTs #NFTdrops https://t.co/aPs7vp2mZE",https://twitter.com/unframes444/status/1531577620348907521,9,1,16,
11,arcthecommunity,8/ What excites me most about the concept of NFTs is community building. After meeting many NFT collectors over the years I found that the people with this common interest truly come from very diverse backgrounds.,https://twitter.com/arcthecommunity/status/1531545472610930689,5,0,14689,
12,Oddeyeddog2,"🧭NEW NFT collecrion of Odd Eyed Dog🧭

Odd Eyed Dog(OED project)is Created by OED Team.

OED hope to mirror our diverse emotions and personality. 

Anybody can be one of the Super Unique Character of Odd Eyed Dog.

#NFT #NFTWhitelist  #NFTGiveaway #NFTdrop #NFTCollection https://t.co/9CpkoPomUw",https://twitter.com/Oddeyeddog2/status/1531482988646567937,8,2,16,
13,eddiegangland,The NFT market is maturing and becoming super diverse which I can appreciate. There are people here for the art and there are people here for goblintown.,https://twitter.com/eddiegangland/status/1531437920497942531,90,8,49539,
14,_LemQQ,"NFT has gone in diverse ways. 

Not all NFT creator may give airdrop. If 1/1 NFT artist is to offer “utility”, it definitely should be another creation, next 1/1 piece and next and next. 

That’s the way how art with intrinsic value be seen. 

#nfts #nftart #art",https://twitter.com/_LemQQ/status/1531425897936728064,8,1,1827,
15,nft_ba,"That you understand and appreciate Giger enough to experiment with his aesthetic says a lot about your appreciation for diverse ART and history, as well as speaking to your confidence in your own skill and aesthetic.
Good stuff!

What's @midjourney ? I'm outta loops rn",https://twitter.com/nft_ba/status/1531421021206478848,1,1,657,['midjourney']
16,astamcloud,Great thread by @LeftClickSave I like the diverse approach to keeping a pulse on the NFT space,https://twitter.com/astamcloud/status/1531395228321579008,2,0,1898,['LeftClickSave']
17,bokchoybabynft,"@EthereumTowers @alexrpc_NFT @0xrshenriques 
ET was my first metaverse home and filled with a unique and diverse community",https://twitter.com/bokchoybabynft/status/1531385053309046785,4,0,1609,"['EthereumTowers', 'alexrpc_NFT', '0xrshenriques']"
18,takeupspacehq,"We had our first live guest lecture as part of our Beginners Web3 Playbook!

@carrotcakesol from @tryrollhq helping to upskill our community of diverse leaders👩🏽‍🎓👨🏿‍🎓🧑🏼‍🎓",https://twitter.com/takeupspacehq/status/1531339667206979585,9,2,3886,"['carrotcakesol', 'tryrollhq']"
19,stake_share,"Stake Share Pools NFT Benefits: 

1. Secured - own your rights via NFT
2. Tradable – anyone can buy and sell rights 
3. Distributed – work with multiple platforms 
4. Diverse – abstracts different PoS networks (currencies) 
5. Be part of the first validators generation on ETH PoS https://t.co/lXDfxvOwRD",https://twitter.com/stake_share/status/1531334405255569418,86,22,1611,
20,DusktopiaNFT,"Most land NFT projects struggle with trait depth.

Not enough traits ➡️ the whole collection looks the same.

Hence, we put our biggest investment into ensuring that our genesis lands draw from a diverse pool of traits.

Here's some BTS footage of our studio design process.

🧵👇 https://t.co/uZyrijGU2C",https://twitter.com/DusktopiaNFT/status/1531333168292167680,192,116,58016,
21,wearelivingNFT,"DIVERSE METAVERSE 1/1s 👽💫
https://t.co/owlls3x2IC
216 items · 65 owners · 0.01 floor price 
STEP INTO MY WORLD 🤗👽🛸👾 opens up monthly airdrops for NFT holders 🪐 #PolygonNFTs 
#NFTCommunity #NFTs #womeninNFTs #trippyart #web3 #Polygon https://t.co/mfv8DI0su7",https://twitter.com/wearelivingNFT/status/1531326336534728705,8,2,3268,
