,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
0,LeeCareyNFT,The Sandbox and People of Crypto Debut First Diversity Hub in the Metaverse / https://t.co/kWyP0zd9ss #NFTartist #NFTProject #NFTCommumity #NFTcollectibles #nftnews #NFTs #nftlover #nftsale #nftart #NFTshill #nftmusic #nft,https://twitter.com/LeeCareyNFT/status/1531781386503323648,1,0,2364,
1,nivaaz_nft,"@dioeth4 @girlsonthechain Yeah, I don't really think anon culture is the solution. IMO it's just hiding the lack of diversity and deviating away from being inclusive. 
Though, it could be one avenue to make it easier to speak up when we see something that isn't inclusive!",https://twitter.com/nivaaz_nft/status/1531779073529487360,1,0,1122,['dioeth4']
2,LarryMiles,"@Willie_1of1 @BoredApeYC Nice NFT! Congratulations! In case you didn't know, Cardano has an incredibly vibrant NFT ecosystem with the likes of @ChilledKongs and @claymates. NFA but it may prove wise to diversity into chains that are more secure and cost less to use than Ethereum. https://t.co/6P6z1AtNnk",https://twitter.com/LarryMiles/status/1531772299229143046,1,0,3982,"['Willie_1of1', 'BoredApeYC', 'ChilledKongs', 'claymates']"
3,CreatureCultur3,Creature Culture Community… Join Us to let your inner creature out 😈 https://t.co/smAXR9QgOf #freemint #nftcommunity #creatureculturecollection #diversity #positivity #nft,https://twitter.com/CreatureCultur3/status/1531761922382651392,13,0,1152,
4,riley02051373,"This market has no diversity,

There’s literally 5 projects, with the same typical theme, that everyone refers to. 

Each one offering nothing really. 

@goblintownwtf is the healthiest reset in #nft. 

Thank you 🚀❤️ #goblintownwtf",https://twitter.com/riley02051373/status/1531740024542208005,44,7,4994,['goblintownwtf']
5,Eli_Krumova,I gave +Kred to @LatinasinSTEM on @Kred #influence #WomeninTech #WomenInSTEM #WomenWhoCode #STEM #AI #ML #IoT #IIoT #IoTPL #CyberSecurity #coding #DataScience #NFT #tech #DigitalTransformation #FutureofWork #DEI #womenempowerment #EmergingTech #SDG #Equality #Inclusion #Diversity,https://twitter.com/Eli_Krumova/status/1531735233699143680,2,0,31627,"['LatinasinSTEM', 'Kred']"
6,MoviePresales,"Include #Diversity 
representation and inclusion global steps @SAUHoldings keep fighting 
#inked #nft #tatoo #linkedgirl #alt #lobyb_nft #goth #alternative #etc #blockchain #art #novel #crypto #Financial #vc 
https://t.co/CvOfBeQOmz",https://twitter.com/MoviePresales/status/1531726647698898946,1,0,1158,['SAUHoldings']
7,JellybeanReds,"Celebrate Every Vivacious Hue of Your Rainbow

NFT: https://t.co/Nj4M1VPfJT
Story: https://t.co/6iPptRd2LJ

#lgbtq #rainbow #diversity #pride 
Find @jellybeanreds on #objkt
#nftart #NFTs #tezos
#magic #Jellybing #Rainbow https://t.co/4dCmqrSvxe",https://twitter.com/JellybeanReds/status/1531690753612816387,5,0,3034,['JellybeanReds']
8,HDeworm,This is what its all about! #diversity #inclusion #empathy #feelings #caring #everyone #together #nft #crypto #creator #art #festival #tracks #love #concern https://t.co/EAMRTeHIfN,https://twitter.com/HDeworm/status/1531690658297221120,4,1,3389,
9,SolidWomenClub,"@sheslaurenlee Hello there, my name is Cherry. I’m a Thai/Chinese artist &amp; the founder of SWC. I’m based in Macau - having missed all the events in the US, I would love to fly to and take part in Bali NFT week so I can connect and promote diversity, inclusivity and Women’s Empowerment. ✊💖",https://twitter.com/SolidWomenClub/status/1531689822011543553,5,0,4728,
