,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
0,Eli_Krumova,I gave +Kred to @LatinasinSTEM on @Kred #influence #WomeninTech #WomenInSTEM #WomenWhoCode #STEM #AI #ML #IoT #IIoT #IoTPL #CyberSecurity #coding #DataScience #NFT #tech #DigitalTransformation #FutureofWork #DEI #womenempowerment #EmergingTech #SDG #Equality #Inclusion #Diversity,https://twitter.com/Eli_Krumova/status/1531735233699143680,2,0,31631,"['LatinasinSTEM', 'Kred']"
1,web3innovators,"Current bear market produces so many opportunities, it's CRAZY ! 😀
You don't want to miss our NFT Collection : 👇
https://t.co/1kX6Sckesd
.
#NFT #NFTDrop #art #equality #market #crypto",https://twitter.com/web3innovators/status/1531730045676539904,5,2,16840,
2,TinyArtist_Nft,Equality is everything! https://t.co/fsiTblmPsz,https://twitter.com/TinyArtist_Nft/status/1531714939693551621,2,0,2222,
3,blacksquare_art,"When you enter the Blacksquare, free yourself from any prejudices.

The Blacksquare stands against any kind of discrimination, racism, war, oppression. 

We are Blacksquare!

⬛️OBEY YOURSELF⬛️

#Blacksquare #NFT #Peace #NoToWar #Notoracism #Equality",https://twitter.com/blacksquare_art/status/1531698806810632196,11,1,6844,
4,RytisSidlauskas,"Hey @DeadRareNFT 
Why do you relist your project to the ""New Listings"" section from time to time?

Is this some kind of a new level of ""transparency"" &amp; equality within the projects that list on your #NFT marketplace?

#Elrond #EGLD #ElrondCommunity #ElrondNetwork #ElrondNFT https://t.co/4lcHBJnI5e",https://twitter.com/RytisSidlauskas/status/1531539258292457472,11,4,38,['DeadRareNFT']
5,GrootKkw,"What if, I could launch a #DeFi project what is 100% based on equality and not on who's got the most money or is the biggest #Degen in the Space.

Would you like to invest into it?

Like and Retweet = Yes
Comment = No, and I would like to know why

#NFT #NFTCommunity #ETH #BTC",https://twitter.com/GrootKkw/status/1531456355206410241,36,15,3052,
6,metaclubf,"Proud to see this!

At MetaClub we strive to include many minority groups of players in the game including South Asians as we feel they are drastically misrepresented in the sport 

#football #NFT #PlayToEarn #play2earn #Equality #minority #benning #portvale #P2E #P2Egaming #fifa",https://twitter.com/metaclubf/status/1531383864224059394,2,1,633,
7,equalitynft,"Are you ready for the Global Equality drop? Let us know in the comments.
#NFT #NFTCommunity #NFTGiveaway #NFTdrop #Metaverse #web3 #nftart https://t.co/a0brP6P54M",https://twitter.com/equalitynft/status/1531311636027424769,2,0,29,
8,equalitynft,Welcome to Global Equality NFT where everyone can be what they want. If you like it support us because mint is coming soon🤫🤫#web3 #blockchain #nft #NFT #NFTCommunity #NFTGiveaway #NFTGiveaways https://t.co/vS6agvwIip,https://twitter.com/equalitynft/status/1531302281634881540,3,0,29,
9,chemicalbrodar,"@ZeninNFT Hi, please check @TheEqualsDao

We are all for equality in our community and the NFT space and would love to collaborate with your project. ❤️🤝",https://twitter.com/chemicalbrodar/status/1531281930737618944,15,9,390226,"['ZeninNFT', 'TheEqualsDao']"
10,Rygar1976,"@KittyGrumble @NFT_L30 @njshawn @elonmusk @SmileSimplify @AOC Oh it was real. Leo was there for me, in my time of need… surrounded by crazed liberals and their long-winded &amp; insufferable droning about obvious bullshit we all agree with.  Such hits as, “bad people bad” &amp; “equality for pets”",https://twitter.com/Rygar1976/status/1531276268771082240,2,0,96,"['KittyGrumble', 'njshawn', 'elonmusk', 'SmileSimplify', 'AOC']"
11,fepz_,"I am a Co-founder of @TheEqualsDao

We are all for equality in our community and the NFT space and would love to collaborate with your project",https://twitter.com/fepz_/status/1531275296607023105,21,13,23686,['TheEqualsDao']
12,fepz_,"@ZeninNFT I am a Co-founder of @TheEqualsDao

We are all for equality in our community and the NFT space and would love to collaborate with your project",https://twitter.com/fepz_/status/1531274983288229890,15,9,23686,"['ZeninNFT', 'TheEqualsDao']"
13,Rethne1,"I got a proposition on Deviantart from some NFT company. The ammount of money they said they'd pay me per day is the equality of how much I'd earn in Mcdonalds on full time per month.
I dont think I'm skilled and educated enough to work for a company.
#NFT https://t.co/aC90MRNHnX",https://twitter.com/Rethne1/status/1531265034449559555,2,0,30,
14,binkalogi,"Who said ancient doesn't inderstand equality?
check in https://t.co/pMKgEcB1VD

#nfts #nft #nftgame #nftcollector #nftcollectibles #binkalogi #Cultureart #cryptocurrency #pixelartnft #pixelart https://t.co/kVaUxDfpao",https://twitter.com/binkalogi/status/1531174477186232320,7,1,307,
15,sivigai_nft,"@carlo_armilo @HyperNation8 @HyperNFTpro Yeah I'm watching this 
It's like a equality, freedom , justice #NFT",https://twitter.com/sivigai_nft/status/1531167601459572736,0,0,8,"['carlo_armilo', 'HyperNation8', 'HyperNFTpro']"
16,kipheo_art,"Wow just was checking my collection and found I won this profound work by amazing artist @Yashika__Kalra who contributed to a collection for @ArielIndia 

Thank you so much to @coi_nft and to all involved in raising awareness on equality and promoting healthy relationships 💕💕 https://t.co/XODILNeUS4",https://twitter.com/kipheo_art/status/1531119409821102080,7,2,1507,"['Yashika__Kalra', 'ArielIndia', 'coi_nft']"
17,binkalogi,"Who said ancient doesn't inderstand equality?
check in https://t.co/pMKgEcB1VD

#nfts #nft #nftgame #nftcollector #nftcollectibles #binkalogi #Cultureart #cryptocurrency #pixelartnft #pixelart https://t.co/Bhw0FXBezH",https://twitter.com/binkalogi/status/1531116786879369217,2,1,307,
18,DotDwebo,"2) Here we go!

EQUALITY 👇
if A = A, then ~A != A. 

FAIRNESS 👇
if A = B, then f(A) = f(B).  | except for some cases like trigonometry.

REPLACEBILITY 👇
if A = B, then A + C = B + C. 
#HNS #dweb #web3 #NFT #NFTcommunity #blockchain #domains",https://twitter.com/DotDwebo/status/1531083488299868160,2,0,957,
19,web3innovators,"We launched at the worst market possible, I am so proud of how brave that was. We keep on working and sales will come, when we sell our first pieces I don’t think there will be a happier human being than us. We keep going!❤️
https://t.co/1kX6Sckesd
.
#NFT #NFTdrop #equality",https://twitter.com/web3innovators/status/1531015073698918405,3,2,16840,
20,Eli_Krumova,I gave +Kred to @ActivateGood on @Kred. #influence #STEM #WomenInSTEM #tech #WomeninTech #DEI #womenempowerment #WomenWhoCode #DataScience #AI #ML #IoT #IIoT #IoTPL #IoTCL #CyberSec #web3 #NFT #coding #EmergingTech #FutureofWork #Diversity #Equality #Inclusion #Tech4Good #SDGs,https://twitter.com/Eli_Krumova/status/1531010118292234242,1,1,31631,"['activategood', 'Kred']"
21,CoinPeer1,"Everyone talks about equality, but we bring it to the table by empowering meaningful projects. IncubateX is the first women-led web3 incubator that helps projects that make a difference and create a positive change. #IncubateX_nominee #womenempowering #nft https://t.co/oTkNIC4kPt",https://twitter.com/CoinPeer1/status/1530961851047026688,6,0,7012,
22,MickySator,Guys! I am not the sharpest one on the NFT field! Haha... any advice is welcome! In July... there will be on Rarible the 31 January Equality artworks for each day of the month!! How has a birthday in January?? Your day artwork is unique! Don't miss it. https://t.co/BczWtVPFIE,https://twitter.com/MickySator/status/1530925179706155012,1,1,429,
23,MadAudeo,"Ok, but just a note on this, sweetheart: It's verbatim what I said in an NFT room last Sunday.  

It's not enough to speak on equality and equity. It's imperative to give credit where it is due. While our faces are Funkos, we still expect our voices be respected.💪@IsaidSoDidntI",https://twitter.com/MadAudeo/status/1530838694394966016,1,0,33,
24,juru_nft,"@VandalCityCorp I feel Vandal City has a unique take on the world of NFT’s. For me, it deals with the problem of social equality. There are alot of big and upper guys out there and maybe its time for the little guys to shine ✊🏻",https://twitter.com/juru_nft/status/1530794067994345472,2,0,16,['VandalCityCorp']
25,gabocohete,"I share with you my fan art for @DreamersNFT_ , which represents the strong situations that my family has gone through over time, I hope you like it and serve as a message of respect, equality, peace and love for others and justice. #Solana #NFT #NFTCommunity #nftart https://t.co/LFsEb9Br84",https://twitter.com/gabocohete/status/1530731340311760896,5,2,510,['DreamersNFT_']
26,byKellyMax,"INTRO ME:
Founder, Art &amp; Creative Director @ModernistNFT
Vision: Global Participation Equality in Social Media through Web3
Mission: Through SOLVV &amp; MODERNIST
Goal: Make you happy along the way!

#NFT #NFTs #NFTCommunity #NFTArt #CryptoArt #NFTcollector #NFTcollectibles #Web3 https://t.co/u9wihDyczh",https://twitter.com/byKellyMax/status/1530715639672979456,4,0,4531,['ModernistNFT']
27,WWCreatives,"Art curator Tina Ziegler says #NFTs are the future of art.

Check here How #NFTs are “revolutionizing” equality in the #art world.
👉https://t.co/A92cULtObv
#NFT #NFTs #Cryptocurrency #NFTCommunity #NFTWomen #NFTArt https://t.co/GdvfyBUTLJ",https://twitter.com/WWCreatives/status/1530609981355134977,3,0,15599,
28,tahsan43,"Everyone talks about equality, but we bring it to the table by empowering meaningful projects. IncubateX is the first women-led web3 incubator that helps projects that make a difference and create a positive change. #IncubateX_nominee #womenempowering #nft https://t.co/l3ztA7tO4w",https://twitter.com/tahsan43/status/1530604226606342145,1,0,4962,
29,max_maxster,"new day, new #NFT: Equality 05 (https://t.co/adqsz55Z31)

editions: 69

price: .69 tezos.

all unsold editions will be burned in 2 hours, so be fast!

ps. 1 copy will be gifted to a random person who RTs this.",https://twitter.com/max_maxster/status/1530590573626793986,34,26,17988,
30,web3innovators,"WeAreEqual LIMITED COLLECTION JUST DROPPED ! No gas fees too! 🚀

LETS GOOOO.❤️

This is the ONLY link to buy : 👇🏽

https://t.co/1kX6Sckesd

#nft #nftart #equality",https://twitter.com/web3innovators/status/1530477066143023105,6,2,16840,
31,stefchristou,"WeAreEqual LIMITED COLLECTION JUST DROPPED ! No gas fees too! 🚀

LETS GOOOO.❤️

This is the ONLY link to buy : 👇🏽

https://t.co/pNdBRglHa4

#nft #nftart #equality",https://twitter.com/stefchristou/status/1530477030038556674,5,1,26,
32,mermaidnftart,"Delight in the oceans of change. Our goal is to raise $1million+ for marine protection and gender equality. Change the world one NFT at a time! 

#GreenChipNFT #NFTsforGood  #NFTcommunity #nftcollector #nftart #nftgallery #Oceans #marineconservation #genderequility #WomeninNFT https://t.co/8fNOUhaWnD",https://twitter.com/mermaidnftart/status/1530476436456361985,11,1,1519,
33,xakiirkhan,"Join Discord For lunching announcements: https://t.co/jKWPraIgNZ
WeAreEqual #NFT is the first #NFT .    aiming to promote Equality and Accepatnce through its unique 3D #NFTart. The limited drop includes the 10 most rare pieces of the collection (which drops on 10th of June). https://t.co/59rW20iw49",https://twitter.com/xakiirkhan/status/1530441876339318784,2,0,103,
34,clamtart,"@Soul_Picklz @Fctrip222 @Eazy_Babi @collers0210 @killabearsnft @SpaceRiders_NFT You know the major struggle in web3 is that you have to be accountable to yourself, and not everyone wins. Equality of opportunity is not equality of outcome. Those two are separated by effort and diligence. Take your lesson with pride and not this broadcasted sniveling.",https://twitter.com/clamtart/status/1530430508211003393,1,0,2014,"['Soul_Picklz', 'Fctrip222', 'Eazy_Babi', 'collers0210', 'killabearsnft', 'SpaceRiders_NFT']"
35,sadiya937,"Everyone talks about equality, but we bring it to the table by empowering meaningful projects. IncubateX is the first women-led web3 incubator that helps projects that make a difference and create a positive change. #IncubateX_nominee #womenempowering #nft https://t.co/GoDEgVUDi8",https://twitter.com/sadiya937/status/1530380253352194048,6,0,4616,
36,Geanz_z,"name = “geanz”
age = “47”
feelings = “nihilistic”
genders = “fluid”
#nft #NFTCommunity #WomeninNFTs #women #gender #equality #art #more #LGBTQ",https://twitter.com/Geanz_z/status/1530377606436073472,8,1,1864,
37,aha2020aha,@IncubateX_NFT not only equality but need a real form for that not just a verbal acknowledgment but real action must be taken,https://twitter.com/aha2020aha/status/1530341355251453952,1,0,2951,['IncubateX_NFT']
38,NotDolls_nft,"Yes we have to start the work for our daughters, they deserved safe space, equality and let them be able to do what they want.

They have the right to dream big 🔥🔥🔥",https://twitter.com/NotDolls_nft/status/1530320747171913728,4,0,8053,
39,sypecom,"#Web3 facilitates ease of technology access for women &amp; minorities:

https://t.co/XMtrv2TNeO

#blockchain #Web3 #CryptocurrencyNews #CryptoNews #TechNews #tokenized #Bitcoin #DAO #DeFi #metaverse #NFT #equality #Diversity #inclusivity",https://twitter.com/sypecom/status/1530270111394721793,9,4,4727,
40,Eli_Krumova,I gave +Kred to @Inspiringgirlsf on @Kred. #influence #STEM #GirlsWhoCode #WomenInSTEM #WomeninTech #edtech #AI #ML #IoT #IoTPL #IoTCL #coding #programming #NFTs #NFT #Metaverse #web3 #tech #EmergingTech #FutureofWork #DigitalTransformation #Equality #DEI #SDGs #womenempowerment,https://twitter.com/Eli_Krumova/status/1530186397960773634,2,4,31631,"['Inspiringgirlsf', 'Kred']"
41,web3innovators,"Hey ! 👋🏽

Reminder that our Limited Drop will be available tomorrow, hurry up and hopefully you can get yourself a Rare piece!👀🫣✅

LFG.🚀

#nft #opensea #nftdrop #art #equality",https://twitter.com/web3innovators/status/1530058325819375616,7,2,16840,
42,listofdaos,"#DAOs venture capital is coming...the question is 4⃣ who? 👀out @GMN_NFT if you get a chance 💯

#diversity #inclusion #acceptance #WomeninNFTs #womenintech #Equality #WomenInCrypto #minority #undercapitalized #underrepresented #web3 #dao @gmn",https://twitter.com/listofdaos/status/1529995844686123008,7,2,1237,"['GMN_NFT', 'gmn']"
43,NkomwaTrust,"Promoting the principles of the CRPD- NFT advocates that the right to Sign language enables equality in all spheres of life.

#inclusivity is the key#
@ShepherdDhlami6 
@WorldVisionZim 
@CydtMat 
@MatoboYouth 
@LCDZim 
@FODPZ1 
@zacgava 
@mthabisi_mthire 
@chingagovhati https://t.co/UPlCqGyI6d",https://twitter.com/NkomwaTrust/status/1529899420996841478,7,0,920,"['ShepherdDhlami6', 'WorldVisionZim', 'CydtMat', 'MatoboYouth', 'LCDZim', 'FODPZ1', 'zacgava', 'mthabisi_mthire', 'chingagovhati']"
44,QueenTQC,"A huge thank you to all that came out to out #womeninweb3 #spaces today! You are killing it and I am excited to call you a friend!!
Thank you @Jubile3le3 @lady_rarrar @Web3Equity @EdenG_nft @_Crypto_Bunny_ @Fahmikhan @geode_design @msiwaleilaninft see you next time!!
#Equality",https://twitter.com/QueenTQC/status/1529834203457667073,12,4,572,"['Jubile3le3', 'lady_rarrar', 'Web3Equity', '_Crypto_Bunny_', 'Fahmikhan', 'geode_design', 'msiwaleilaninft']"
