,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
0,DikDikHeadz,"Ok. Here's an idea. 
Step 1. Stop referring to the terms Bear or Bull.
Step 2. Support as much ethical and interesting shit as possible. 
Step 3. Start over at Step 1 &amp; repeat Step 2. 

#NFT #NFTProject #nftart",https://twitter.com/DikDikHeadz/status/1531674080063135746,9,2,2018,
1,Xer0x_NFT,@al_oner_one @daniela___l @misanharriman Congratulations my friend. This piece   is my favorite piece on Tezos. I know you minted it in Tezos for ethical reasons and told me you would never mint on Eth because of your environmental convictions. Here then is justice manifested,https://twitter.com/Xer0x_NFT/status/1531641092671668224,22,1,8871,"['al_oner_one', 'daniela___l', 'misanharriman']"
2,KaySohini,Good. I hope the statement is that they apologize for the huge oversight and that they will no longer be featuring the plagiarist NFT enthusiast. There are too many good (and ethical!) artists in the comics industry for this to have happened in the first place.,https://twitter.com/KaySohini/status/1531318353821843456,8,0,1706,
3,NomadProduct,"""Change is one thing, progress is another. ""Change"" is scientific, ""progress"" is ethical; change is indubitable, whereas progress is a matter of controversy.""
-B. Russell

#nfts #nftart #nftcollector #nft #abstractexpressionism 
Spaghetti and Meatballs @ https://t.co/8yAIf3SFls https://t.co/TonRfh6IOy",https://twitter.com/NomadProduct/status/1531248558795464704,10,2,613,
4,blvcksimba3797,"Make I yarn you some ethical update untop this Nft parol, aboy, go join @BubblegooseXYZ server for discord, this project na major pass ohh. No go loose guard, I swear we go dey on soft las las. 💎💎💎
@StevieCatalini sef go cap you ethical , @BubblegooseXYZ  no be chais project",https://twitter.com/blvcksimba3797/status/1531220200795918336,1,0,318,"['BubblegooseXYZ', 'BubblegooseXYZ']"
5,BasiliskOnline,"Since everyone is rightfully coming down on the shitty NFT Art Thief, I just wanna be clear to any other artists rn

Ethical tracing is 100% fine, its limiting, but if your sources are open license or whatever you are totally fine.

Dont rip off other ppls art tho",https://twitter.com/BasiliskOnline/status/1531122063565418499,18,2,2470,
6,FreeDaBased,"Everybody hates ppl that speak on an ethical or moral standpoint in the NFT space…All these ppl not understanding why crypto came into existence to begin with…We’re supposed to regulate ourselves, if not than you support outside forces coming in with their restraints…",https://twitter.com/FreeDaBased/status/1531100382142910465,6,0,1224,
7,CarbonKerma,"#Greenwashing
👉Noun

▶️Falsely leading consumers to believe that a brand's products or policies are ethical or environmentally friendly. 

#Web3 #Crypto #NFTCommunity #nftart #blockchain #NFT #NFTs #cryptocurrency #DeFi #carboncapture https://t.co/w7LTjlsovp",https://twitter.com/CarbonKerma/status/1531035552275132416,12,0,1872,
8,cz_novia,@Hikaru___NFT @MichalLuk8 @ms_ofyr @Ted_aka_Ethical Yes yes 👌,https://twitter.com/cz_novia/status/1530984165100904449,1,0,412,"['MichalLuk8', 'ms_ofyr', 'Ted_aka_Ethical']"
9,letsgoayo,It’s more ethical to sell crack than to participate in NFT,https://twitter.com/letsgoayo/status/1530918735791415296,18,1,10931,
10,DeeD42180347,I’m interested to see what the first cases will look like for scammers in the NFT space. All these rugged projects. People are going to learn that fraud is fraud no matter the sector. If we want this space to grow we need to have ethical owners #NFTCommunity #NFT #rugpull,https://twitter.com/DeeD42180347/status/1530894137469411329,1,1,97,
11,wirelyss,"@goblintownwtf  A fully ethical free mint, no VC backing, the NFT space is full of bad actors and goblins.. are you @NFTethics ? 🤔",https://twitter.com/wirelyss/status/1530660329864192002,75,9,8156,"['goblintownwtf', 'NFTethics']"
12,dexsychain,"DeFi Platform Marhaba Looks to Tap $3 Trillion Islamic Economy With Halal-Certified NFTs: Marhaba DeFi Network (MRHB), a Muslim-focused ""ethical"" decentralized finance platform, has introduced what it is calling the ""world's first""… https://t.co/0R5HuuHWCo DEXSY NFT",https://twitter.com/dexsychain/status/1530499269249028096,1,0,113,
13,0xScissus,@Petros0505 @GutanZoran @HaroBuru @Moonsie_NFT @Benny_Legends @Investorsaurus2 @Ted_aka_Ethical @IsmailSola2 @yours_stella Sometimes even legends need a break.,https://twitter.com/0xScissus/status/1530476969476907008,4,0,1084,"['Petros0505', 'GutanZoran', 'HaroBuru', 'Moonsie_NFT', 'Benny_Legends', 'Investorsaurus2', 'Ted_aka_Ethical', 'IsmailSola2', 'yours_stella']"
14,Petros0505,@GutanZoran @HaroBuru @Moonsie_NFT @Benny_Legends @Investorsaurus2 @Ted_aka_Ethical @IsmailSola2 @yours_stella @0xScissus Bro I'm nftd out atm! Ready to go in a couple of weeks 💪🏼,https://twitter.com/Petros0505/status/1530441163831799808,3,0,609,"['GutanZoran', 'HaroBuru', 'Moonsie_NFT', 'Benny_Legends', 'Investorsaurus2', 'Ted_aka_Ethical', 'IsmailSola2', 'yours_stella', '0xScissus']"
15,qianjin56551456,"Biion Footwear Enters Metaverse; Collabs With Doodles NFT Art By CoinQuora . Biion Footwear, an ethical shoe company, has announced that it will join the metaverse bandwagon through a collaboration with Doodles NFT Art. Through this...",https://twitter.com/qianjin56551456/status/1530387161698009094,1,0,37,
16,mustang_IAF,"Ethical wear today ☀️✨💯❤️💞

#NCT127 #ETH #lunaburn #LUNA #TeJran #NFTs #nftart #NFT #LUNAtics #monkeypox #naturelovers #Trending #Japan #NFTCommunity #NFTGiveaway #Russia https://t.co/siCXqgQ0SC",https://twitter.com/mustang_IAF/status/1530354746782912512,5,0,137,
17,HoldYourColors,"@IncubateX_NFT Incubatex aims to anticipate this coming evolution by combining cryptocurrency with the Metaverse and building an ethical, etc. Awesome project!!!",https://twitter.com/HoldYourColors/status/1530316921480282112,1,0,7933,['IncubateX_NFT']
18,DxbAndrew,@prillililiputt @MrBlack_NFT @ethical_recover This is a scam,https://twitter.com/DxbAndrew/status/1530263238096592896,1,0,655,"['prillililiputt', 'MrBlack_NFT', 'ethical_recover']"
19,princessvaillow,"@LaurieLandry 
hey
I really love your work and your message
I was wondering if you had any advice about ethical nft, market places and how to do start
I'm lost in how to do all this art selling stuff. I kind of just give my art away but I need to stop doing that my therapist says",https://twitter.com/princessvaillow/status/1530225336977395713,1,0,209,['LaurieLandry']
20,DOOMbotMask,"@0xFljp @TC_Solana @TheGoldenBlazer Oh it's all good :) I get fired up about ethical slights in the NFT/crypto space so I'm not a robot :P

But yup, 100%, to me numbers/odds that are above table and transparent are what matters here. After 500K hands of poker you learn to remove emotion from hard logic outcomes :)",https://twitter.com/DOOMbotMask/status/1530206244497027072,3,0,5931,"['TC_Solana', 'TheGoldenBlazer']"
21,gaby_gad,@PutriKamalin @opensea @mypethooligan @ethical_recover I already got my NFT back.. the problem is Open Sea that will not remove the flag from it,https://twitter.com/gaby_gad/status/1529993638020775942,1,0,832,"['PutriKamalin', 'opensea', 'mypethooligan', 'ethical_recover']"
22,mutzumstrich,"@Evros_NFT @ArtEricWayne That on the other hand is very true. Too many of us around. But then saying it is an ethical issue… i think ethically there is no other way than just growing and exploiting till it‘s too late and we all die 🤷🏼‍♂️ we‘re doomed and it‘s fine, so let‘s enjoy it while it lasts",https://twitter.com/mutzumstrich/status/1529728591403040768,4,0,2374,['Evros_NFT']
23,HIGHVIBEnetwork,"Middlemen standing between #artists and their creative wealth has gotten really old.

Legacy institutions can’t keep up with what’s emerging…

That’s where massive #NFT disruption via ethical smart contracts comes in😎🪄",https://twitter.com/HIGHVIBEnetwork/status/1529688782706028544,6,1,28140,
24,kingsweapon,"@BrBoland @luigidemeo Is it wrong to shill you a fantasy football/basketball NFT project in this thread? (not a rug)  🏈 🏀 ⚽️

I read your bio

I have no shame, but Luigi re-shared a famous rugpull
so why not

I'll wait for a reply before I present the hard shill

It's the only ethical thing to do rn",https://twitter.com/kingsweapon/status/1529643154059632640,0,0,168,['luigidemeo']
25,sillytuna,@TrymRuud @warnerrecordsuk @StickmenToys Honestly I was just raising the issue as someone who defends artists and the nft space generally. From here much better to deal with @TrymRuud as both ethical and legal side to it,https://twitter.com/sillytuna/status/1529569704616112130,7,0,27236,"['TrymRuud', 'warnerrecordsuk', 'StickmenToys', 'TrymRuud']"
26,SENDYOURNFT,There are several ethical concerns that must be addressed before the metaverse becomes something that people would use on a regular basis https://t.co/8VLwnpcXhc #NFTCommunity #NFTGiveaways #NFT,https://twitter.com/SENDYOURNFT/status/1529460914751057920,0,0,977,
27,aservais1,@charlieburns @ahcastor But Amy was not questioning journos in general but only the one covering cryptos. Is it not? Don’t u agree the economics on that side are even more conflicting? NFT NYC will be a model of one-sided proselytizing and will ethical journos stay away?,https://twitter.com/aservais1/status/1529202836592070657,2,0,11440,"['charlieburns', 'ahcastor']"
28,diego_mac_arena,"Behind the acronym NFT (almost) there is a real, ethical artist with a history trying to survive from his craft in an increasingly insane world. NFT enters as yet another way of marketing and distributing work. But the value is in the work and the artist. #NFT #NFTCommumity",https://twitter.com/diego_mac_arena/status/1529111614418567174,3,0,1321,
29,Dragz8250,"@memeland @pinklist_nft Has a hard working, ethical team of women who have created something unique and special in the space to give women equal footing 💞",https://twitter.com/Dragz8250/status/1529016324055244800,2,0,1243,"['Memeland', 'pinklist_nft']"
30,Voxxels,"1 / So here’s how some unseen ethical challenges in this space,

- Avoid grifting
- Avoid selling overpriced nft’s
- Avoid fake-ass being nice to get featured (web3gals pls stahp) 

What you would you do knowing this project is bullshit but It sells?",https://twitter.com/Voxxels/status/1529003123322363910,1,0,136,
31,Milanooo_,@NFT_Awareness @dhemitchan @qepqyxstyxtoy @cryptoShields @rugpullfinder @ethical_recover Thanks so much for spreading the word!!,https://twitter.com/Milanooo_/status/1528893078240743424,1,0,1536,"['NFT_Awareness', 'dhemitchan', 'qepqyxstyxtoy', 'cryptoShields', 'rugpullfinder', 'ethical_recover']"
32,DeathFiat,"@cazstIe @ethical_recover @Jamesjordan0012 another scam artist @cazstIe what you get 50% of what your ""Boy"" @Jamesjordan0012
 steals from people DO NOT COMMENT ON OUR PAGE WITH YOUR BS ! Once again #NFTCommunity / #Crytocurrency ANYONE WHO TELLS YOU THEY KNOW SOMEONE WHO CAN HELP RETRIEVE YOUR HACKED NFT/CRYPTO IS LYING!",https://twitter.com/DeathFiat/status/1528892226004205570,9,1,45375,"['cazstIe', 'ethical_recover', 'Jamesjordan0012', 'cazstIe', 'Jamesjordan0012']"
33,DeathFiat,"💥TOP NEWS💥#nft #hackedwallet A Hacker Took Over NFT Artist Beeple’s Twitter And Followers &amp; Lost Hundreds of Thousands of Dollars!Yest, an unknown hacker assumed control of digital artist Beeple’s Twitter account for 5 hours resulting in $425,000 in loss prob @ethical_recover!!",https://twitter.com/DeathFiat/status/1528877748730593281,2,0,45375,['ethical_recover']
34,NFT_Awareness,"@dhemitchan @Milanooo_ @qepqyxstyxtoy @cryptoShields @rugpullfinder @ethical_recover I have alerted my followers and other anti skammers as well. Great job all.
Sorry they are stealing your art.",https://twitter.com/NFT_Awareness/status/1528854342446481408,2,0,5079,"['dhemitchan', 'Milanooo_', 'qepqyxstyxtoy', 'cryptoShields', 'rugpullfinder', 'ethical_recover']"
35,Milanooo_,@dhemitchan @qepqyxstyxtoy @cryptoShields @NFT_Awareness @rugpullfinder @ethical_recover of course!!,https://twitter.com/Milanooo_/status/1528838727648387072,2,0,1536,"['dhemitchan', 'qepqyxstyxtoy', 'cryptoShields', 'NFT_Awareness', 'rugpullfinder', 'ethical_recover']"
36,Milanooo_,"@qepqyxstyxtoy @dhemitchan @cryptoShields @NFT_Awareness @rugpullfinder @ethical_recover I didnt get my wallet drained but an artist did have her work stolen

I'll check them out tho if i ever need them. Thanks!!",https://twitter.com/Milanooo_/status/1528837969091641345,1,0,1536,"['qepqyxstyxtoy', 'dhemitchan', 'cryptoShields', 'NFT_Awareness', 'rugpullfinder', 'ethical_recover']"
37,RubyProtocol,@sir_arndt Education on #Web3 is needed by every active and ethical project alive in the #Defi #NFT etc spaces.,https://twitter.com/RubyProtocol/status/1528814514157899776,3,1,5304,['sir_arndt']
38,sorcereracademy,"Welcome to Sorcerer Academy!

a school where students
learn to harness magic✨
and learn it ethical uses 🪄

All interactions will give life to Sorcerer spells
#NFTCommunity #NFTs #NFT #NFTartist #NFTart #nftcollectors https://t.co/MghiN2q0T9",https://twitter.com/sorcereracademy/status/1528778797482483715,8,4,42,
39,WokenWine,"#Wokenwine launching in June which promises to offer a “fair, transparent and ethical ecosystem” for #wine #collectors. Each bottle registered on the platform will have its unique identity by minting an #NFT.       https://t.co/H6795OnQX7",https://twitter.com/WokenWine/status/1528668359184855041,3,0,239,
40,x14_blnk,"@NFT_L30 @alifarhat79 I don't think Elon is ethical. Perhaps a good operator but he doesn't take his impacts seriously and pursues plenty of endeavors that are opposed to the benefit of humans. 

He is in a position where he mostly just benefits from the status-quo and makes no effort to improve.",https://twitter.com/x14_blnk/status/1528507301937549312,1,0,46,['alifarhat79']
41,UzupisMUC,@refikanadol Thank you so much for ptomoting NFT and ethical AI - hope you come back soon!,https://twitter.com/UzupisMUC/status/1528452973776580609,4,0,1051,['refikanadol']
42,beridzeses,"@Mattapause NFT fashion will soon demolish the fast fashion machine, as it's both ethical &amp; trendy. Instead of wearing cheap, ill-fitting clothes from Shein just to toss them away after a single OOTD post, people will start buying and collecting digital fashion.",https://twitter.com/beridzeses/status/1528434394012196864,2,0,1026,['Mattapause']
