,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
0,SolidWomenClub,"@sheslaurenlee Hello there, my name is Cherry. I’m a Thai/Chinese artist &amp; the founder of SWC. I’m based in Macau - having missed all the events in the US, I would love to fly to and take part in Bali NFT week so I can connect and promote diversity, inclusivity and Women’s Empowerment. ✊💖",https://twitter.com/SolidWomenClub/status/1531689822011543553,5,0,4728,
1,WomxnPlus,"We’re on Day 10 &amp; here’s today’s 3 features from batch 2✨
#WomxnPlus28
#WomxnPlus29
#WomxnPlus30

Each #nft is mindfully hand drawn &amp; had descriptions thought through and well defined to #empower #inclusivity, #representation &amp; #allyship. 🤍

#womxnplus #NFTCommunity https://t.co/VvvCSaOapy",https://twitter.com/WomxnPlus/status/1531515893758722048,3,2,84,
2,srimoam,"@LivingPixelated TRANQUILLITY -  An edition of advocating inclusivity ❣️

79 editions are left! I'm here for long run to create the ripple of advocating inclusivity in NFT space.. ❣️❣️

Price - 0.025th

https://t.co/WDOYRQwaNO https://t.co/aFlbVGF9OH",https://twitter.com/srimoam/status/1531455458917367808,8,1,5635,['LivingPixelated']
3,CuandoCrypto,The opposite of inclusivity. Some NFT projects will survive and some won’t. The ones that do will be inclusive and not require wealthy people to burn 1000s of dollars on hopium.,https://twitter.com/CuandoCrypto/status/1531425939346833408,0,0,715,
4,SkunknutNFT,"👀 Almost time to #COMEASYOUARE and grow with the project🦨

Our project focuses on inclusivity and growth in Web 3.0.

Get WHITELISTED and Mint at .03 ETH

Are you ready, Skunks? 

https://t.co/Mi3KlCpLmL
                      
#NFT #NFTProject #LowGAS #whitelist https://t.co/1NwrpYo5SW",https://twitter.com/SkunknutNFT/status/1531304607888003074,61,18,17882,
5,srimoam,"TRANQUILLITY -  An edition of advocating inclusivity ❣️

79 editions are left! I'm here for long run to create the ripple of advocating inclusivity in NFT space.. 

Please Retweet/ quote tweet for max reach ❣️❣️

Price - 0.025th

https://t.co/WDOYRQwaNO https://t.co/tq9g1L0GKN",https://twitter.com/srimoam/status/1531183978194972672,59,28,5635,
6,mary_ac_,"To ensure inclusivity and empowerment, Crisóbal Balenciaga launches its To the moon NFT collection, backed by @Defy_Trends 
Read more⬇️
https://t.co/K8o16H6aEE 
#ANML #ACSquad",https://twitter.com/mary_ac_/status/1531120061871792128,1,0,1294,['Defy_Trends']
7,redhalofive,"I just won this TRUE STARS NFT!!! I'm super elated you guys. If you haven't heard about this project, let me tell me ya something... it is a women-led project that is about building community, inclusivity, and being our true self! check it out for reals!!! 🥹🥹🥹",https://twitter.com/redhalofive/status/1531069578465394688,5,1,633,
8,liam53180345,"Wait a second! I just found @chanteljeffries in @etherthings collection 👀 

@etherthings is a historical project, minted before BAYC
The community is pure joy! They stand for #representation, #inclusivity, and #diversity in #web3
This is NFT History #early10kpfps https://t.co/xgVfikNLn1",https://twitter.com/liam53180345/status/1531016732416126982,32,15,876,"['ChantelJeffries', 'etherthings', 'etherthings']"
9,women_of_tmw,"By creating a community rooted in kindness, compassion and inclusivity, we aim to support the success of diverse creatives and change the face of tomorrow for the better. What are you looking in a community in web3? 

#NFTCommunity 
#womenintech 
#WomeninNFTs 
#womeninweb3 
#NFT",https://twitter.com/women_of_tmw/status/1530944306432954368,15,5,4998,
