,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
0,ArtBrovera,"No need to go into morality with that tcaf NFT clown when the art itself is bad, frankly",https://twitter.com/ArtBrovera/status/1531654128098807808,3,0,1594,
1,ideartist_eth,"NFT fam ✨ As promised to airdrop one artwork to the collector of my 1/1 artworks, I airdropped ""Morality of Hell"" to @AikoPapageno 
 
Thank you taking ""Takeover"" home, a piece of my heart. It's very special to me. ✨ Hope you like this gift too💜

Read 🧵 https://t.co/JcFQrmodhT",https://twitter.com/ideartist_eth/status/1531600175365771265,51,12,7694,['AikoPapageno']
2,Cryptokaliyug,"@shreeshenoy18 @Aslimeow @TrippinApeNFT @nearbigbrain @Rajat71545823 @dirt_85 Cut the crap
You guys set up airdrop and nft groups where only the owners can put up their invites not the members 
You use your members to earn invites and reward then treat them like shit
Last person talking about morality should be you",https://twitter.com/Cryptokaliyug/status/1531483274719031296,2,0,3,"['shreeshenoy18', 'Aslimeow', 'TrippinApeNFT', 'nearbigbrain', 'Rajat71545823']"
3,5m0go,"@AkuRypto @mohammedjanahi5 @nft_metaman @BoredApeYC Morality has nothing to do with the situation, for me. When you have something this valuable, you double check what you do before taking any decisions",https://twitter.com/5m0go/status/1531277186891751431,8,0,89,"['AkuRypto', 'mohammedjanahi5', 'nft_metaman', 'BoredApeYC']"
4,ZhidkovaEP,"#decentralized #decentralization #solana #censorship #NFT #token #cryptocurrency
#Solcial cannot remove your content, only hide it from public view if the majority decides that the content is illegal or contrary to generally accepted standards of morality.",https://twitter.com/ZhidkovaEP/status/1530969348877299712,4,0,625,
5,cheffo_nft,"11) As NFTs continue to develop, shiny newness will wear off, celebrity will fade. Morality, authenticity and kindness will rule the day for many projects. CHEFFO will continue to lead in that area by speaking truth to power; while focusing on individuals and groups that deserve",https://twitter.com/cheffo_nft/status/1529901206033899520,4,0,2922,
6,Nosnamatu,You may purchase my On Legality and Morality NFT on Rarible now https://t.co/npV2QJBhj7 #rarible #ethereum #nonfungible #digitalasset #nft via @rarible https://t.co/KX3f3Zy96D,https://twitter.com/Nosnamatu/status/1529633660097413123,0,0,342,['rarible']
7,sepimnft,"@studio_gov @jf_nft Wish peace ☮️ health , happiness ,morality, wealth, justice for all over the world 🦋🍀☮️🙏🏻❤️",https://twitter.com/sepimnft/status/1529199761512968197,1,0,3916,"['studio_gov', 'jf_nft']"
8,CooshTj,"@VictorM67009242 @emerald_dao @ZELDALAW007 @dapperDanso @_WeTheNorth93 @codeguru_ @Dutch_Brat_NFT @ZackSrock72 @VladimirHedoni1 @BigDaddyErac @hiroad77777 Dude you just publicly tried to SCAM a giveaway. 

Got called out for it.

You responded basically with “don’t talk to me unless you have a 100k pfp” and a GIF of a bear farting.

Your immaturity is on brand with your morality.",https://twitter.com/CooshTj/status/1529102069721972736,2,0,619,"['VictorM67009242', 'emerald_dao', 'ZELDALAW007', 'dapperDanso', '_WeTheNorth93', 'codeguru_', 'Dutch_Brat_NFT', 'ZackSrock72', 'VladimirHedoni1', 'BigDaddyErac', 'hiroad77777']"
9,SquidRoyale,"Ape Gorilla Club NFT Project Stands for Strength and Morality

https://t.co/t3AbOlj7H2

#Metaverse #NFT #NFTdrop #NFTCommunity #blockchain #squidroyale #SquidGame #GameFi #NFTWorlds #nftfactor",https://twitter.com/SquidRoyale/status/1528958960900120576,4,0,1643,
10,ExploreDownto,"I created this collection a while ago (I think, time is weird in #NFT world). I'm proud of it. The fact that the great @lorigraceaz collected one made me beam with pride

I'm more than one type of photographer. The Scent of Morality was made to show that.

https://t.co/2NGW4vL7Wu",https://twitter.com/ExploreDownto/status/1528648316124561410,8,2,3301,['lorigraceaz']
11,NFT_vickyz,"@stablekwon 
You have created a world of fear and hate for your new born. UR a guy with no morality left within. Living dead..",https://twitter.com/NFT_vickyz/status/1528624116156141568,0,0,226,['stablekwon']
12,N1FTey,"""Morality""

1/1 #nft #nftart on @voiceNFT 

#nftartwork #digitalart #digitalasset #digitalcollectibles #digitalartwork #philosophy  #aiart #nftcollectors #NFTcollectibles 

https://t.co/07FfjwV4Em",https://twitter.com/N1FTey/status/1528428165814624256,1,2,791,['voiceNFT']
