,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
0,TrueAlphaGod,"@psychedelic_nft How can a therapist that doesnt look like me, know how it feels to wake up and face the numerous # of micro and macro aggressions that come with skin color. Not being given the benefit of the doubt or opportunities due to unconscious bias and/or  conscious racism.",https://twitter.com/TrueAlphaGod/status/1531763971354677249,9,0,1229,['psychedelic_nft']
1,blacksquare_art,"When you enter the Blacksquare, free yourself from any prejudices.

The Blacksquare stands against any kind of discrimination, racism, war, oppression. 

We are Blacksquare!

⬛️OBEY YOURSELF⬛️

#Blacksquare #NFT #Peace #NoToWar #Notoracism #Equality",https://twitter.com/blacksquare_art/status/1531698806810632196,11,1,6843,
2,SoLinusx,"🎉 #GIVEAWAY 🎉

Collagebots want to spread anti-racism and anti-homophobia in the NFT Community.
🌟FREE MINT / ✅ Doxxed Team / 

Prize:
👑 5 OG Role
⭐ 10 Whitelist Spot

To enter:
1⃣ Follow @CollageBotsNFT &amp; @NFTtoothemoon 
2⃣ Like ❤️
3️⃣ Retweet 

24h ⏰
#NFTCommunity #NFTs https://t.co/lnBEwCV151",https://twitter.com/SoLinusx/status/1531639197706108930,45,47,17958,['CollageBotsNFT']
3,beepusmaximus,"@mikvance @adamtotscomix @TorontoComics NFT scams and racism has it at least tied, I think. Unless you can think of a third...",https://twitter.com/beepusmaximus/status/1531621877403164672,2,0,0,"['mikvance', 'adamtotscomix', 'TorontoComics']"
4,nft_blacklabs,@BentoBoiNFT It is amazing. And nobody notices that everybody is from another part of the world. The space is just not filled with hate and racism. AMAZING,https://twitter.com/nft_blacklabs/status/1531530176055627776,0,0,13,['BentoBoiNFT']
5,teaberryblue,@weredawgz @JessicaRawbit @fyscuit @TorontoComics Some of the people challenging here are VERY familiar with the NFT market but she’s got a ton of support and people tweeting at TCAF that the people rejecting this “just don’t understand NFTs” which is why it feels really important to me to focus on the racism and plagiarism.,https://twitter.com/teaberryblue/status/1531380653459132421,5,0,6536,"['weredawgz', 'JessicaRawbit', 'fyscuit', 'TorontoComics']"
6,Cayen123,"@Iron_Spike I haven't seen a single thing about her religion until now. I didn't even know she was Muslim. I saw legit complaints about her attitude, racism, elitist, and NFT grift.",https://twitter.com/Cayen123/status/1531379630590070785,2,0,248,['Iron_Spike']
7,ARosenlund,"@mudron On top of it, beyond the palgiarism, racism, NFT garbage and elitism against community and amateur art, their connection to anything approaching comics is so razor thin that it's incredibly confusing that they're a part of the festival at all, and makes the invite suspicious.",https://twitter.com/ARosenlund/status/1531368373182930945,2,1,333,['mudron']
8,uchuushelf,"@PINKCATNFT I mean at the most minor of it all - excluding the plagiarism and racism - you're not a comic artist. And TCAF isn't a trade show, it's a festival. I know you probably haven't put a lot of thought into it if your NFT art is any indication but at least try.",https://twitter.com/uchuushelf/status/1531352339126304768,139,0,1272,['PINKCATNFT']
9,teaberryblue,"@assumptionprime @fyscuit @TorontoComics I agree! But most of the commentary about this is focused on the NFT aspect which I don’t think is as cogent to people who don’t  get what the issue with NFTs are, and the racism and plagiarism are things everyone knows are bad and compound the NFT problem exponentially.",https://twitter.com/teaberryblue/status/1531349804651057152,9,0,6536,"['assumptionprime', 'fyscuit', 'TorontoComics']"
10,meeel_fa,Look what I found! racism collectible https://t.co/hKUTBsyIgQ #racism #rarible #flow #nonfungible #digitalasset #nft via @rarible,https://twitter.com/meeel_fa/status/1531318882979528704,4,0,2,['rarible']
11,Cryptskii,"@NFT_Spooked @liloldhead @LonelyPopNFT Making this statement? Or are you doing the exact thing your are upset with us over? Only it is not you?

We are human. We thought we were eliminating racism. We make errors. We also are willing to fix them too ☺️. Please allow us to unblock your account. Open a ticket.",https://twitter.com/Cryptskii/status/1531300101880172545,1,0,2219,"['NFT_Spooked', 'liloldhead', 'LonelyPopNFT']"
