,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
602,mr52pickup,@harrage24 @shane_donohue_ @mbl267_NFT @mcuban Because they would kill a perpetual revenue generator in favour of one time only sales. It’d actually be an idiotic move. Instead it’s smarter to maximize revenue via price discrimination. You can buy your ticket to an event or collect moments that have their own utility.,https://twitter.com/mr52pickup/status/1420592521139298306,3,0,4978,"['harrage24', 'mbl267_NFT', 'mcuban']"
547,BRUTALISTI,"@digitalcoleman What the author of the ""Open source""  software is a pure form of discrimination. Open source is like giving free hot soup on the street. So if you have different skin color, or god or make nft's you can't get one?",https://twitter.com/BRUTALISTI/status/1450213955213877256,1,0,3544,['digitalcoleman']
100,mrsfinanceoff,"@Herlina728 I choose you for one my NFT giveaway.
Okay then, Thank you for your #hate and #discrimination.",https://twitter.com/mrsfinanceoff/status/1518981146754916352,1,0,220,['Herlina728']
628,JayTakjoo,"@CryptoPumpkinz "" Wall Breaker"" is my new #Nft ♀️♾ on @withFND
...
This piece is dedicated to all girls and #women who resist unequal conditions and #gender discrimination! 
...
https://t.co/ZoBMReTMKU
...
#NFTs #NFTCommunity #nftart #NFTcollectibles #NFTartist #nftcollector",https://twitter.com/JayTakjoo/status/1409986234173333505,3,1,1327,['CryptoPumpkinz']
325,BigSigmaSensei,"@warder_nft @eth_ari @trilldeceased @getderb race is the core of the word racism, it’s not called institutionalpowerism. It’s discrimination based on race. Period. Your mental gymnastics are impressive I’ll give you that.",https://twitter.com/BigSigmaSensei/status/1491085118903287811,3,0,8012,"['eth_Ari', 'trilldeceased', 'getderb']"
355,ilababin31,https://t.co/MmSH8FzvS3 The world's first NFT collection dedicated to male discrimination!,https://twitter.com/ilababin31/status/1488204828425826305,1,0,1,
109,Soheil77637085,"Hi I'm soheil art in opensea
This is a part of my #NFTCollection 
Hope to enjoy it 🤠🤠🤠
This #NFT is about There is a just life and the elimination of #gender discrimination in the #world

#NFT #artwork  #art https://t.co/b35Y3IrBCk",https://twitter.com/Soheil77637085/status/1518242071609548800,1,1,0,
251,Lord_Vaderrrr,@beer_brat @mp__nft Discrimination 😝🤣🤣 #noprofilepicgang,https://twitter.com/Lord_Vaderrrr/status/1501789233270247429,1,0,339,"['beer_brat', 'mp__nft']"
398,Knight_of_NFT,@Colorblind_Adam There should be no gender discrimination. The space belongs to everyone. We should all work together and support each other to achieve our goal as a community.,https://twitter.com/Knight_of_NFT/status/1482246000211378178,1,0,553,['Colorblind_Adam']
520,borg_brain,"@AbuSpinky @cathsimard_ @punk6529 Well, there are certainly more women than men in NFT’s and crypto now compared to when they released the project. If there is no discrimination, then female punks should be worth more because they are more rare. Maybe it eventually happens.",https://twitter.com/borg_brain/status/1456349010126532624,2,0,2784,"['AbuSpinky', 'cathsimard_', 'punk6529']"
499,montalut,"@MrBrookG @stefdelev Timezone ""discrimination"" exists, has caused me many zombie days from lack of sleep. I would love for an NFT project to emphasize balance alongside the rush",https://twitter.com/montalut/status/1460541594185068546,3,1,386,"['MrBrookG', 'stefdelev']"
453,AlgoNFT_Quilt,"@NFT_Tarot @Alphonsobwjr DM me, comment asking to collab or hit the discord. All are acceptable and all collabs are welcome no matter how big or small the project is. No discrimination in the quilt just love and sharing.",https://twitter.com/AlgoNFT_Quilt/status/1467297142314344452,3,0,2565,"['NFT_tarot', 'Alphonsobwjr']"
375,betty_nft,"@IIMummRaII If we remove the human element to all of this, yes. But the reality is this space is built on communities and culture - one that didn’t magically forget bias and discrimination.",https://twitter.com/betty_nft/status/1485224794794897412,7,0,86967,['IIMummRaII']
610,JayTakjoo,""" Wall Breaker"" is my new artwork #Nft ♾♀️ on @withFND
...
This piece is dedicated to all girls and #women  who resist unequal conditions and #gender discrimination! 
...
https://t.co/ZoBMReTMKU
...
#NFTs #NFTCommunity #nftart #NFTartist #nftcollector #NFTartists #NFTfriends https://t.co/KNWijpNbWw",https://twitter.com/JayTakjoo/status/1416142687758073863,27,15,1327,
171,nicfdx,"@garyvee Oh man this is nailing on the spot, not just in NFT space but everywhere. Say NO to discrimination. Spread love and kindness 🫶💖💚",https://twitter.com/nicfdx/status/1509066481455472654,1,0,241,['garyvee']
194,pixelart77,"Listed ♥️♥️ ( 0.009 ) ETH

NFT collection of unique pixel works that aim to be the voice of women victims of violence and girls in need.

An nft collection that values ​​gender discrimination and women's rights.

https://t.co/lTycLVHI3N https://t.co/0ciW9YWNaQ",https://twitter.com/pixelart77/status/1506968358939500549,2,0,501,
41,Cryptol32506091,@GentlemensC_NFT GL Gents??? What about us ladies? I'm suing you for sexual discrimination if you don't give me a wl spot!,https://twitter.com/Cryptol32506091/status/1526489051557429248,1,0,311,['GentlemensC_NFT']
234,teepee_nft,"@dafruitfullife A great community is where people are supportive of each other, accepting other’s imperfections, mindful of one’s own actions, being able to love without discrimination 💖💖💖",https://twitter.com/teepee_nft/status/1503262496257241088,1,0,1258,['dafruitfullife']
