,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
1004,thenftist,"A 13-year-old artist has become a multi-millionaire by selling her portraits of long-necked women as #NFTs. 

Her most expensive #NFT — a 'hand drawn, computer generated collectible out of 3,333 diverse females' — sold for 4 ETH, or about $11,737, last August. #thenftist #nftnews https://t.co/MJXDIdTtNE",https://twitter.com/thenftist/status/1516747446495416325,7,3,9407,
6067,Factor_TC,It's fascinating to see the ambitious vision of the @ErthaGame team as they develop a diverse and deep NFT based game. #Metaverse #GemDiggers #PlayToEarn,https://twitter.com/Factor_TC/status/1474256582707798016,6,0,437,['ErthaGame']
7226,DogeDestinyApp,"PoiPoi Rarities 

Examining the differences and similarities between the art's properties and the art itself is what makes any NFT highly engaging.

See the diverse PoiPois on OpenSea now:
https://t.co/jasFcB1qIw

#NFT #Art #OpenSea @opensea https://t.co/DVj3CkCLQV",https://twitter.com/DogeDestinyApp/status/1447036511292215296,5,1,4795,['opensea']
3569,omar4bba5,"@unstablekido @antonymartdept @AntonymNFT omg pls let me in mates, after all the drama last week im only betting on @AntonymNFT's well diverse community to do well 

@ActualVirtual3d @ambassador_nft @MetaB10nicNFT",https://twitter.com/omar4bba5/status/1493795139902316547,2,0,201,"['unstablekido', 'AntonymNFT', 'AntonymNFT', 'ActualVirtual3d', 'ambassador_nft', 'MetaB10nicNFT']"
7211,tora_dada,"A mysterious hard disk was found in an archeological site which does not coincide with the historical era to which it should belong.
A collection of unique, cool and diverse images from the past, ready to leave a mark in the NFT space!

https://t.co/KPGXXdvBu1

#NFTs #opensea https://t.co/6zhDpyWnMQ",https://twitter.com/tora_dada/status/1447645042366205952,8,4,32,
3875,cannaclout_eth,Join the discord of the BEST project to mint this FEBRUARY and probably this year 🔥🔥🔥  https://t.co/CNO4yf4zAS whitelist spots are still available you won’t want to miss this. #NFT #NFTMinting #NFTCommumity #NFTCollection @diverse #NFTGiveaways,https://twitter.com/cannaclout_eth/status/1491514780011712519,4,0,242,['diverse']
91,unboxPH,"The partnership leverages @OPGames_ diverse Web3 game library and @yggsea extensive network  of gamers, developers, and crypto/NFT enthusiasts. 

https://t.co/iMBuOaa2h0 https://t.co/rB4AaUpxVX",https://twitter.com/unboxPH/status/1530064860020498432,6,3,6754,"['OPGames_', 'yggsea']"
5102,Andy68665,@diverse @serpentau @nft_addicted_ @alienfrens I love it here,https://twitter.com/Andy68665/status/1485746110346166272,1,0,15,"['diverse', 'serpentau', 'NFT_ADDICTED_', 'alienfrens']"
6015,Diverse__Pixels,"If you ever want spam on Twitter or Instagram just use the hashtag NFT.

Never had so many fake accounts message or comment",https://twitter.com/Diverse__Pixels/status/1475726737195548674,2,0,2829,
308,TheUberhuman,"1/ Express your identity through your NFT 

Adopting NFTs as an identifier on Twitter is cool but infusing your identity into your NFT is cooler

This helps your community to become more diverse and multi cultural even under a shared project banner 

Give your NFT an identity https://t.co/c6BVwIzKDc",https://twitter.com/TheUberhuman/status/1526868341775814656,5,0,3692,
