,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
884,QueenzProject,"We are so excited to announce the @queenzproject launch. An NFT collection representing Queens from all around the world in their diversity and magnitude.
👸🏿👸🏾👸🏽👸🏼👸🏻👸
About to shake the #WEB3 Space
#WomenInNFTs #NFTutility #NFTCommunity https://t.co/HRPHG7Kls4",https://twitter.com/QueenzProject/status/1521226676574769152,34,14,804,['QueenzProject']
627,cryptodragsNFTs,"Happy Friday loves!!!!💜

Any plans for this weekend?👀

#nftcommunity #LGBTIQ #nft #diversity #HappyFriday https://t.co/x9pauY5Ys4",https://twitter.com/cryptodragsNFTs/status/1525086044420460544,4,2,1359,
493,hoki4ever,@CutieBabeGem15 @diversity_nft myDC: hoki4ever https://t.co/LfhGfK4tg4,https://twitter.com/hoki4ever/status/1526573351853993984,0,0,201,"['CutieBabeGem15', 'diversity_nft']"
401,DesiSlava1233,"@diversity_nft Good lucky! &lt;3 &lt;3 &lt;3
@nhunghuytam @quanghuynguyn16 @Hng05175943 @Hng51575691",https://twitter.com/DesiSlava1233/status/1527314127508545536,1,0,179,"['diversity_nft', 'nhunghuytam', 'quanghuynguyn16', 'Hng05175943', 'Hng51575691']"
28,shareTED,@thegirlwithnfts Seems to be reinforced by #nft communities who value/engage w/collectors of their expensive ones but are not interested/ignore folks trying to enter the space/community w/their more affordable NFTs. Damaging to the communities as diversity is not embraced &amp; folks feel less than.,https://twitter.com/shareTED/status/1531466226613923841,2,0,6922,['thegirlwithnfts']
325,MosingSiwat,"@TheSolanaBoss @diversity_nft Wish me luck this time.
@OMeffordh @CoolKid25123",https://twitter.com/MosingSiwat/status/1527915661154222080,1,0,84,"['TheSolanaBoss', 'diversity_nft', 'OMeffordh', 'CoolKid25123']"
701,TheDriftNFT,"One of our issues with many NFT collections was the lack of diversity for the same base characters. 

Allow us to demonstrate how they can have similar bases, but evolve into very different personalities. 

#THEDRIFTNFT #NFTCommunity #NFT #NFTArt https://t.co/5TYR6ZLs7u",https://twitter.com/TheDriftNFT/status/1523784884581376001,142,71,18139,
302,metaclubf,"Gm guys!

We strive for diversity and representation of all minority backgrounds in our players at MetaClub🌎🏟

What nations would you like to see our players come from? 

#NFTs #nft #NFTCommunity #Diversity #football #soccer #Equality #fifa #FUT #PlayToEarn #Metaverse #P2EGame https://t.co/GVlIrx3vjj",https://twitter.com/metaclubf/status/1528082108455038978,16,3,633,
280,pixlrgenesis,"These are a couple of the galleries that's ready for the beta release 👀 We're building multiple galleries with varying designs for more diversity. As more galleries are added, we'll soon have our own Pixlr Genesis artverse 🎨

#NFTProject #NFT #NFTCommmunity #NFTcollections https://t.co/b0yxVytN9o",https://twitter.com/pixlrgenesis/status/1528374922216894465,5,0,2825,
426,Servingthisage,@diversity_nft Am an active member and I interact a lot,https://twitter.com/Servingthisage/status/1527017177743863809,0,0,14,['diversity_nft']
353,tironijenkins,"@atimtay Congratulations on being one of 166 artists chosen for the NFT NYC Diversity of Art Showcase, this June 21-23!",https://twitter.com/tironijenkins/status/1527594595005173760,1,0,61,['atimtay']
579,msJoe_crypto,"There’s a diversity shift.
Yet Asians are still underrepresented in the NFT space. Let’s support the Asians in web3 &amp; MAKE SOME NOISE!!

Share your favourite artist &amp; creators
@8sianmom
@CuriousAddys
@FortuneFriends_
@debsoon
@DavidChoiMusic
@KevFiBot https://t.co/IsDRDUYZTm",https://twitter.com/msJoe_crypto/status/1525831659488432130,126,22,4312,"['8sianmom', 'CuriousAddys', 'FortuneFriends_', 'debsoon', 'DavidChoiMusic', 'KevFiBot']"
552,kokocuvier,"@jasonophoto @newlightvisuals @Businessneeds3 @kittii_crypto @vitalycoshel @SablengR @cfryant @Kradenofficial @KassiSm @CmurkNFT @Monathereum @OmniaSurreal @RickWadeArt1 @AMugia @Jedi_prophet @LandMystical @paraxenod @anestain1 @nftartist1988 @Sed_inc @chroma_visions @paulasanchesart @coolkidswalknft @nft_blade @marianodivaio @shquibble @NancyverseNft @XtrangeArtist @SkochNFT @wag_sonia @gnsstudio @gang_xrp @vieribottazzini @Reneejcampbell @walasavagephoto @0xWanderbitch @danhawkphoto Thanks Jason! The diversity of your art is so impressive, is there anything you can’t do?! Sheesh!! 

Bringing in @oceanaimee_ @MattWalch4 and @Sault_photo https://t.co/Zhr4xHX7Vr",https://twitter.com/kokocuvier/status/1526269395734933504,16,2,3491,"['jasonophoto', 'newlightvisuals', 'Businessneeds3', 'kittii_crypto', 'vitalycoshel', 'SablengR', 'cfryant', 'Kradenofficial', 'KassiSm', 'CmurkNFT', 'Monathereum', 'OmniaSurreal', 'RickWadeArt1', 'AMugia', 'Jedi_prophet', 'paraxenod', 'anestain1', 'nftartist1988', 'Sed_inc', 'chroma_visions', 'paulasanchesart', 'coolkidswalknft', 'nft_blade', 'marianodivaio', 'shquibble', 'NancyverseNft', 'XtrangeArtist', 'SkochNFT', 'wag_sonia', 'gnsstudio', 'gang_xrp', 'vieribottazzini', 'Reneejcampbell', 'walasavagephoto', 'danhawkphoto', 'oceanaimee_', 'MattWalch4', 'Sault_photo']"
497,Shiblejr6,"@diversity_nft Grate project
@apurbomondal960 @PallobKumar20
@Shiblejr",https://twitter.com/Shiblejr6/status/1526567494508777473,0,0,6,"['diversity_nft', 'apurbomondal960', 'PallobKumar20', 'Shiblejr']"
149,TTurtlesClubNFT,"We’re hosting our 3rd AMA in about 12 hours and we would love to have you there with us! 

An exciting line-up of speakers and hosted by @QueenTQC, @pranavgour09 &amp; @DudsNft 

So join us! 
 https://t.co/ZvcRUzC3nx

#NFT #NFTCommunity #WomeninNFTs #womeninweb3 #diversity #love https://t.co/jeIZ6muXFw",https://twitter.com/TTurtlesClubNFT/status/1529636150180478976,11,5,1168,"['QueenTQC', 'pranavgour09', 'DudsNft']"
180,AcceptyArt,"Title: The Less Is More Eco Friendly
Less, but better.

#NFT #NFTs #socialgood #diversity #inclusion #lessismore https://t.co/vDKWcQmgLH",https://twitter.com/AcceptyArt/status/1529374620846960640,2,1,109,
276,VjDeliria,"Last day to nominate me for 
- Best emerging artist
- Diversity Award
- Best onboarding Experience for New NFT Users 

➡️ CLICK here https://t.co/Q4HP1QI3SK

#NFTCommmunity #NFTartists #NFTart #NFT #NFTNYC",https://twitter.com/VjDeliria/status/1528399335314149379,6,1,5888,
147,AcceptyArt,"Title: This Is a Potato
You never know unless you try.

#NFT #NFTs #socialgood #diversity #inclusion #beyourself https://t.co/9ZrBGRpc8h",https://twitter.com/AcceptyArt/status/1529737006191812608,0,1,109,
1056,cryptodragsNFTs,"Hi everybody!!!!

We are working hard hunny and our mint date will be announced soon 💜

So don’t be shy and join us to our family and be updated for our pre-sale list, giveaways and more.

https://t.co/bdKFAbEeVs

See you soon darling 😘!!

#nftcommunity #LGBTIQ #Nft #Diversity https://t.co/nlSjfznUjz",https://twitter.com/cryptodragsNFTs/status/1518941934353625088,3,2,1359,
1000,AcceptyArt,"Title: The Flower That Blooms in Adversity
The flower that blooms in adversity is the rarest and most beautiful of all.

#NFT #NFTs #socialgood #diversity #inclusion #beyourself https://t.co/oHRMvTdqtv",https://twitter.com/AcceptyArt/status/1519499716324511744,5,1,109,
534,DarylTanky,"@pinklist_nft @ThePossessedNFT Well since this is pinklist, I’d just like to shoutout on to amazing woman I’ve met thanks to @ThePossessedNFT. @j0lca @zJennyGirl @AigXcel @coffeebreak_nft @crypto_sci @_LilBubs @endgamemz and the list goes on. It just goes to show the diversity we have and im loving it",https://twitter.com/DarylTanky/status/1526402804088471553,9,0,3220,"['pinklist_nft', 'ThePossessedNFT', 'ThePossessedNFT', 'j0lca', 'zJennyGirl', 'AigXcel', 'coffeebreak_nft', 'crypto_sci', '_LilBubs', 'endgamemz']"
77,AcceptyArt,"Title: Have Questions
The important thing is not to stop having questions.

#NFT #NFTs #socialgood #diversity #inclusion #beyourself https://t.co/untjZvHLY3",https://twitter.com/AcceptyArt/status/1530733562034388992,3,1,109,
345,DanG_711a,"There are many awards for best artists on NFT NYC!
Post your votes for @iamjpierce (e.g. Best Traditional Artist turned NFT Artist) and @notyourbro (e.g. The Diversity Award)!

https://t.co/Ve8HBmvMso",https://twitter.com/DanG_711a/status/1527664195659079681,8,4,53,"['iamjpierce', 'notyourbro']"
1064,nft_eitzi,@cryptox9551 Love the diversity of artworks,https://twitter.com/nft_eitzi/status/1518835505634414592,1,0,5106,['cryptox9551']
196,davidpremier,5 Projects That Celebrate Diversity in the NFT Community https://t.co/hWtZJr6wlV #Art #art #culture #diversityandinclusion https://t.co/f28q0JhcIK,https://twitter.com/davidpremier/status/1529200953747853312,0,1,701,
59,Eli_Krumova,I gave +Kred to @ActivateGood on @Kred. #influence #STEM #WomenInSTEM #tech #WomeninTech #DEI #womenempowerment #WomenWhoCode #DataScience #AI #ML #IoT #IIoT #IoTPL #IoTCL #CyberSec #web3 #NFT #coding #EmergingTech #FutureofWork #Diversity #Equality #Inclusion #Tech4Good #SDGs,https://twitter.com/Eli_Krumova/status/1531010118292234242,1,1,31627,"['activategood', 'Kred']"
419,sirhc130,"Voting cheat sheet 😉 
Most innovative Project @some_place 
Best NFT Artist @aslanruby 
Best Emerging Artist @nft_izzy 
Best Traditional Artist @amber_vittoria 
The Diversity Award/Project for Creators @thehugxyz 
Best Fashion @Fashionary_NFT 
@NFT_NYC 

https://t.co/BLNMJ9t8rA",https://twitter.com/sirhc130/status/1527093193040449536,34,6,612,"['some_place', 'aslanruby', 'nft_izzy', 'amber_vittoria', 'thehugxyz', 'Fashionary_NFT', 'NFT_NYC']"
351,RogerHaus,"2 days left to apply x @NFT_NYC annual awards! ✔️

Please support our work by nominating @ew_corpse in the ˝NFT project for Creators” &amp; “The Diversity Award” &amp;  @digitalart4clim (“Environmental Initiative”) categories!

🔵 https://t.co/3BQmILIv3l 🔴

This would mean world to us!!",https://twitter.com/RogerHaus/status/1527612658660388866,3,0,2746,"['NFT_NYC', 'ew_corpse', 'DigitalArt4Clim']"
20,SilohNFT,@NFT_KyleB @CryptoMories I absolutely adore the diversity of your mories!!! All great traits!,https://twitter.com/SilohNFT/status/1531625410169020416,1,0,2179,"['NFT_KyleB', 'CryptoMories']"
167,Eli_Krumova,I gave +Kred to @girlrising on @Kred. #influence #girlswhocode #WomeninTech #WomenInSTEM #STEM #AI #ML #IoT #IoTPL #IoTCL #CyberSec #Programming #DataScience #tech #NFT #DigitalTransformation #FutureofWork #DEI #womenempowerment #EmergingTech #SDGs #Inclusion #Diversity #Equality,https://twitter.com/Eli_Krumova/status/1529486972535840770,2,1,31627,"['girlrising', 'Kred']"
402,WolfgangValenti,"@diversity_nft Definitely need to get into this whitelist!🚀🚀🚀
@NamQKA @AkaIdrxp @TranThiHuongg @Kieuvanluc",https://twitter.com/WolfgangValenti/status/1527311935360086016,0,0,173,"['diversity_nft', 'NamQKA', 'AkaIdrxp', 'TranThiHuongg', 'Kieuvanluc']"
70,BlockchainAm,"So happy to hold my new NFT #4848 🤩! Excited to see what's coming next @NotYourBroNFT. 
Strong project led by @NatalieNYBro and @GeorgiaNYBro with a focus on supporting women 🚺, LGBTQIA+ community 🌈 and diversity ♾! https://t.co/bATwxvEZYC",https://twitter.com/BlockchainAm/status/1530906553238290434,101,11,1083,"['NotYourBroNFT', 'NatalieNYBro', 'GeorgiaNYBro']"
594,saharrococo,"💜hey dear collectors and creators 💜
This is my Femininity collection 

❌I designed them by contrast, balance, proportion, repetition, rhythm, pattern, movement, diversity❌

👉🏾https://t.co/4lnXHRFZWs
@opensea
#WomeninNFT #WomenInNFTs #nftwomen #NFT #NFTs  #NFTartist https://t.co/DsladGUbCA",https://twitter.com/saharrococo/status/1525543544806678528,19,7,7318,['opensea']
631,metadavideth,"I really believe in @Deadfellaz led by @betty_nft and @psych_nft! I love their message about inclusion and embracing diversity.
I had to make sure my family was ready by Friday the 13th!

#deadfellaz #Horde #NFTs #NFTCommunity https://t.co/46NDUA0Okc",https://twitter.com/metadavideth/status/1524951644198289411,113,14,3287,"['Deadfellaz', 'betty_nft', 'psych_nft']"
61,VectorBotTim,"@kashviETH @_ryanpark_ @NFT_NYC @NFT_NYC brings the community together in such a great way that I think you could just go to the others events and have a great time.

For me I enjoy the variety of speakers @NFT_NYC

The diversity and depth of the talks that will be happening inside the conference are unmatched",https://twitter.com/VectorBotTim/status/1530990576237264896,3,0,9754,"['kashviETH', '_ryanpark_', 'NFT_NYC', 'NFT_NYC', 'NFT_NYC']"
970,AnabelaMengoni,@Kurtjurgen_NFT I do love this diversity. For real!!!!,https://twitter.com/AnabelaMengoni/status/1519778462717906951,1,0,422,['Kurtjurgen_NFT']
911,Eli_Krumova,I gave +Kred to @ISTE on @Kred. #influence #SDGs #Diversity #Equality #Inclusion #Climate #STEM #GirlsWhoCode #WomeninTech #WomenInSTEM #AI #ML #IoT #IoTPL #CyberSecurity #DataScience #coding #NFT #DigitalTransformation #tech #EmergingTech #FutureofWork #womenempowerment #DEI,https://twitter.com/Eli_Krumova/status/1520821508318314497,2,2,31627,['Kred']
338,NFT_NYC,"Our next Artist highlight today is @KalenIwamoto

Kalen is a conceptual crypto writer and artist who pushes the boundaries of both conceptual writing and the NFT medium.

See all the artists selected for The #NFTNYC2022 Diversity of NFTs Art Showcase: https://t.co/syehvfWdDu https://t.co/eEwmWsGdpA",https://twitter.com/NFT_NYC/status/1527711251618353152,32,5,110304,['KalenIwamoto']
308,eagleculture_18,The https://t.co/7qDNmyiMwp 2022 Diversity of NFTs Art Showcase — 166 Artists Selected by @NFT_NYC https://t.co/etfEutALal,https://twitter.com/eagleculture_18/status/1528047413704810496,1,0,48,['NFT_NYC']
888,SheenNFT,"8/ So in conclusion, I have strong gut feeling with the project and that the devs are building in the background. The NFT's already animated look amazing and show the diversity of the animators. This is already a stream of income for the project.",https://twitter.com/SheenNFT/status/1521186672939089920,5,0,952,
