,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
870,NFT_KGT,"@DaGoatNFT @psychedelic_nft I actually think Voltura’s “equality to all” put off a lot of influencers in this space (wrongly so). I know for a fact multiple big influencers messaged Volt to try obtain WL spots for themselves and their alpha group, Volt declined every single one. For me? This is bullish. 1/7",https://twitter.com/NFT_KGT/status/1506124721733046272,5,0,5382,"['DaGoatNFT', 'psychedelic_nft']"
275,mahi411322,"@ClubContenders @BombCryptoGame Usually, NFT game favors those who have upgraded, leveled and purchased large amount in-game items leaving those new players behind of them.
How would @BombCryptoGame promotes fairness and equality to its players?
Do the skills of the players matter more than the character?",https://twitter.com/mahi411322/status/1522398408148803584,1,0,88,"['ClubContenders', 'BombCryptoGame', 'BombCryptoGame']"
2338,polkacipher,"🎉We are excited to announce our partnership with @WomensRightsNFT!

We believe in #equality and providing equal opportunities regardless of gender, race, or sexual orientation! 

Find out more about the partnership👇
https://t.co/p6YHqldmhR

#NFT #PolkaCipher #crosschain https://t.co/N5tjBvhy5S",https://twitter.com/polkacipher/status/1448951609975877634,37,14,20959,['WomensRightsNFT']
1677,Russ18Luke,"@tomwarren When she use NFT’s for revenue to other creators (In the future), I don't give a damn. However, she ruined the most crucial element on YouTube: Equality. Everyone in the platform is different to other people. People get to upload videos while listening to the rules.
1/2",https://twitter.com/Russ18Luke/status/1486513384791048193,3,0,6,['tomwarren']
1149,MDRifat74432343,"@Infinity_AMA @Romanchandr @SugarBounceNSFW Blockchain NFT game favors those who have upgraded, leveled and purchased large amount in-game items leaving those new players behind of them. How would SugarBounce promotes fairness and equality to its players? Do the skills of the players matters more than the?",https://twitter.com/MDRifat74432343/status/1500497837955891203,1,0,59,"['Infinity_AMA', 'SugarBounceNSFW']"
187,pritznft,"How can an artist grow in NFT world without hype...We do talk about equality in Web3.0 

but 

Is it really EQUAL?

#NFTCommunity",https://twitter.com/pritznft/status/1525035273746321408,5,0,2353,
1852,jfx,"To clarify, when I buy daily NFTs I do not look at your profiles. I base my decision purely on the art, this is my first attempt to bring EQUALITY to NFT. Art should not be about race, sex, popularity or economic status. This is a mission ill keep pursuing regardless who joins me",https://twitter.com/jfx/status/1481297668001386505,3642,443,172918,
1199,ArtAngelsLA,"""If I had a religion, women would, with not doubt, be my divinity."" -Yves Saint Laurent 

- @CecilePlaisance x @niftygateway 
- TODAY - Ash Wednesday 
- The nuns drop their robes at 6:30pm EST, drawings open for 24 hours. 
#Equality #freedom #Feminism #NFT #AshWednesday #art https://t.co/qrtCb7A1M0",https://twitter.com/ArtAngelsLA/status/1499058173914669061,2,0,4148,"['CecilePlaisance', 'niftygateway']"
431,Champak656,"@NEXTYPE1 @Bit_Bow123 Blockchain NFT game favors those who have upgraded, leveled and purchased large amount in-game items leaving those new players behind of them. How would ""BitBow"" promotes fairness and equality to its players?",https://twitter.com/Champak656/status/1518428994349461504,0,0,317,"['NEXTYPE1', 'Bit_Bow123']"
899,real_konsan,"@kashviETH @worldofwomennft I'm Japanese, mother of two children. Even though the gender equality has become equal, it can't be said that women's advancement in society is still not enough. But NFT is different. I was able to freely express myself and market my work on the OS regardless of gender💛",https://twitter.com/real_konsan/status/1505000183041441795,1,0,390,"['kashviETH', 'worldofwomennft']"
1879,DrDeathCultClub,"What is the Era of Redemption? 

Today’s comic book episode is a philosophical insight into its ideologies 

Read, watch and enjoy 

#zil #zilliqa @zilliqa #metapolis #nft #art #nfts #nftart #artwork #artist #philosophy #truth #idea #future #btc #rarible #knowledge #equality",https://twitter.com/DrDeathCultClub/status/1479777940435046400,12,2,4298,['zilliqa']
1599,HundredFacesNFT,"#021 | The Male Oppression. Despite the equality, he thinks he is over all women.

#NFT #NFTCommunity #NFTartist #NFTart https://t.co/bXBHKyjOsw",https://twitter.com/HundredFacesNFT/status/1488863706775707651,8,0,95,
109,web3innovators,"3 Giveaways today in our Discord server! We are building the BEST community ever. 🚀❤️
Do not forget to join the server:👇🏽
https://t.co/ZCsTmUXG8K
.
#NFT #art #equality",https://twitter.com/web3innovators/status/1527012365899902978,2,1,16840,
