,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
2849,quantmre,"Uncertain financial future? Tap in to some of your home #equity with a Home Equity Contract. Get cash now to pay your bills. No interest, no monthly payments, and no debt. Learn more▶️ https://t.co/yGzKfNAN0e
#NFT #Algorand #realestate #blockchain https://t.co/IgVNDb2x6F",https://twitter.com/quantmre/status/1491200430847758346,0,0,1483,
3956,trieyedoc,"@HannaCelina @ljin18 Felt the same way! Simple process of reading an amazing articulated essay on Web3, and purchasing the NFT to support. Forever hold the NFT to the essay as equity and part of my social wallet, and contributed to further work from the creator. 🤯",https://twitter.com/trieyedoc/status/1473145588233420803,2,0,4827,"['HannaCelina', 'ljin18']"
1537,thenerdassassin,"There are two types of NFT investors I see:
1) Flippers - Buy quick, Sell quick. Buy a lot and hope one pops off of hype.
2) Investors - Find a company to build with. Buys to give the company capital to build. The NFT is equity stake in the brand.

Both are valid. Don’t judge.",https://twitter.com/thenerdassassin/status/1508537666916483072,7,0,882,
4725,MamesPother,"Many people knew NFTs are nifty-but-worthless pieces of digital art most of the time, but could also be once-in-a-lifetime jackpot item. This is aka to gambling and unlike equity investing whereby the underlying asset has a business regardless of stock price.
#nfts #nft #nftart",https://twitter.com/MamesPother/status/1453765037529632771,4,0,7,
5163,stonercatstv,"🗓 Save the date 🗓

🎙Join us this Fri, Sept 17th 11 AM PDT |  8 PM CEST with guest @cosmosiris, co-founder of @blacknftart . 

🐱Co-hosted by @bigheadclub_  to talk about diversity, equity and inclusion in the NFT ecosystem🐱 

 https://t.co/tLV5kRczAo",https://twitter.com/stonercatstv/status/1437406688999624704,22,9,32443,"['cosmosiris', 'blacknftart']"
2192,quantmre,"Get cash now with a  Home Equity Agreement from QuantmRE.    It's not a loan, it’s not a HELOC and it’s not a reverse mortgage. 

No monthly payments and no added debt.

Download our free ebook:  https://t.co/yGzKfNAN0e
#blockchain #Algorand #NFT #realestate https://t.co/3ymg4mnhcM",https://twitter.com/quantmre/status/1499459762735439872,1,1,1483,
5452,valueandtime,Expecting an equities market boom based off of real world NFT utility and adoption at scale. Tons of Disruption,https://twitter.com/valueandtime/status/1414442538916851719,3,1,56166,
4265,quantmre,"Get cash now with a Home Equity Agreement from QuantmRE. It's not a loan, it’s not a HELOC and it’s not a reverse mortgage.

No monthly payments and no added debt.

Learn more with our free ebook🏠https://t.co/yGzKfNAN0e
#blockchain #Algorand #NFT #realestate https://t.co/Asz8I9M4fA",https://twitter.com/quantmre/status/1466452434889359362,1,0,1483,
2687,PartnersNFT,Vesta Equity launches real estate-backed NFT platform on Algorand - The Block Crypto https://t.co/aWixwrYEdl,https://twitter.com/PartnersNFT/status/1493590198243917824,1,0,103767,
4226,quantmre,"Get cash now with a  Home Equity Agreement from QuantmRE.    It's not a loan, it’s not a HELOC and it’s not a reverse mortgage. 
 
No monthly payments and no added debt.

#blockchain #Algorand #NFT #realestate

Learn more in our free ebook🏠
https://t.co/yGzKfNAN0e https://t.co/coKvnsqY0m",https://twitter.com/quantmre/status/1467556889118527488,1,0,1483,
