,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
652,Shoobeeduuwaap,"Seeing and hearing a lot of scams happen as of late. A questioning attitude will be crucial in protecting you. Question me, question every influencer, question your 'alpha'. I commit to being 10000x ethical and principled in how I act in this NFT space! #NFT #WGMI #Honor",https://twitter.com/Shoobeeduuwaap/status/1490504333699747847,6,0,927,
1237,CryptoTots,"@BettingKongs Ethical and Professional !
Leading the way to launch the best Crypto/NFT Casino
Let's GO #BettingKongs
@Jax_Draper",https://twitter.com/CryptoTots/status/1449345268974034947,3,0,1009,
834,sumeyrayucee,"Hi🐣I'm still new to nft and recently I was confused while listing my works and there was an imbalance in prices. A friend of mine told me how the process works and I will now list more carefully.Because of my own ethical thoughts,I felt the need to explain this🙏🏻
#NFTCommmunity",https://twitter.com/sumeyrayucee/status/1482605531927912455,9,0,2884,
391,cortdanderson,"Why is it a surprise that photographers, photo organizations and companies who have had ethical lapses in the past are now in the middle of NFT controversies?",https://twitter.com/cortdanderson/status/1504445913300877318,9,2,726,
534,5TrinityLove,"@TheBitcoinConf 
 ****** Why DYOR??*******  
Because you’re not NFT🐑. You are an ethical sovereign, savvy cryptonaut🧚🏻‍♀️relaxed, responsible 💰. Thus before you invest, you critically assess  WP📖, research, &amp; answer Questions: What’s the mission? ROI? Ethos? Leaders? UTILITY?",https://twitter.com/5TrinityLove/status/1496587600416567296,0,0,109,['TheBitcoinConf']
871,InsiderDefi,Exploring Bitcoin Moral Imperative In 2021: Perhaps no contributor to Bitcoin Magazine has explored the ethical and moral crucial of Bitcoin extra extensively than Alex Gladstein. Gladstein is the chief strategy officer at the Human… https://t.co/Jik3Glrvqk #crypto #defi #nft,https://twitter.com/InsiderDefi/status/1480735103760273408,2,1,89,
775,thedevilmy0pp,@s1ckf1t i think the nft is surprisingly the most ethical thing she's done,https://twitter.com/thedevilmy0pp/status/1485340650732232709,3,0,474,['s1ckf1t']
18,DxbAndrew,@prillililiputt @MrBlack_NFT @ethical_recover This is a scam,https://twitter.com/DxbAndrew/status/1530263238096592896,1,0,655,"['prillililiputt', 'MrBlack_NFT', 'ethical_recover']"
1332,The713_Client,#HUMBLNFTGALLERY @HUMBLPay #NFT #NFTCommmunity Join an ethical marketplace that doesn't have unethical practices and is transparent and has a code of ethics. Read the thread to see how messed up this is https://t.co/dvA7MrtFTB,https://twitter.com/The713_Client/status/1437994723201798147,5,1,742,['HUMBLPay']
1445,UnthinkableJane,Hubie the first man to sell the first ethical NFT,https://twitter.com/UnthinkableJane/status/1408920502702329856,2,0,194,
48,ToddRolinc,@SirVincentFred @NFT_Shooter @coolcatsnft Yea total bad look as cool cats have actually developed utility and followed through and Azuki is still a pump lemming for a mad ethical play in NFT’s.  When are people gonna wise up and value utility and transparency!?,https://twitter.com/ToddRolinc/status/1527676008597446658,5,0,2197,"['SirVincentFred', 'NFT_Shooter']"
200,_SparkGM,"📣 Pumped to announce some special guests for our Spaces this Friday ⚡️

➡️ @Crypt0nacci - legend in the #AVAX space
➡️ @AnonymousFoxNFT - NFT Project inspired by the (ethical) hacker movement
➡️ @science_gamefi - #AVAX BUIDler, Advocate, and Ambassador

Details below - LFG!🔥",https://twitter.com/_SparkGM/status/1516873573809500163,28,14,23866,"['crypt0nacci', 'AnonymousFoxNFT', 'science_gamefi']"
1349,crypto_bitlord7,"Floor price has 3x 

Not sure if my nft shilling is ethical but I’m not selling them so I don’t care actually 

@NewYork_SEC haha losers. I’m shilling rocks 🪨",https://twitter.com/crypto_bitlord7/status/1436059920940486675,60,4,235070,['NewYork_SEC']
1388,SharkAnth0ny,"@garyvee When will you consider supporting artists on other platforms? Litemint is an NFT platform built on the Stellar blockchain, where gas prices are ethical to both the artist &amp; collector",https://twitter.com/SharkAnth0ny/status/1429126948802990081,4,0,6236,['garyvee']
349,HarryRoseStudi1,"@ART3io @Brevinjordan @NFL @HoustonTexans @opensea Given that these are rescue apes. How much percentage of the NFT sales is going towards ethical ape rescue initiatives? Considering NFTs have been proven to be bad for the climate and wild animals habitats, how are you counter balancing all of this?",https://twitter.com/HarryRoseStudi1/status/1506997813112156171,1,0,119,"['ART3io', 'Brevinjordan', 'NFL', 'HoustonTexans', 'opensea']"
1140,saberbot_radio,@RiAsterism i had a really grim joke earlier that clearly chinese artists are the most ethical to follow now because there's no legal chance they'll get into nft scammery,https://twitter.com/saberbot_radio/status/1456683118363033604,4,0,37,
269,PixelSaurusNFT,"@PastelPersons @garyvee @elldeeNFT Agreed! Just look how much effort has gone into this NFT! All Gary's favourite things! I can personally vouch for Pastel Persons; a truly beautiful, ethical project with some of the best women in the NFT space. 💚🦕🦖",https://twitter.com/PixelSaurusNFT/status/1511291256625897474,4,1,8111,"['PastelPersons', 'garyvee', 'elldeeNFT']"
985,BabyWahle,"🐳 Baby Wahles Metaversity will provide an ethical crypto education to new investors.  We will onboard the next generation of investors, giving everyone, around the world, the opportunity to invest in their future.🐳 #NFT #NFTCommunity #cryptocurrecy #Blockchain",https://twitter.com/BabyWahle/status/1470190692999651330,3,1,1530,
1188,CryptidWorks,@mar1dev @Krita_Painting @DuasAnimas @TMY_NFT @TokenGallery @KodaDot @energywebx Even if you completely remove eviromental concerns it doesn't change the ethical problem that NFTs are a scam designed to help the same predatory practices that happen in the fine art market take root in online art movements they couldn't reach before,https://twitter.com/CryptidWorks/status/1453161718813704192,95,0,256,"['mar1dev', 'Krita_Painting', 'DuasAnimas', 'TMY_NFT', 'TokenGallery', 'KodaDot', 'energywebx']"
1239,ShadowPowerup,"Logically, if we sold one nft to Elon Musk for 5 million dollars, we could stop going to work and offset the environmental harm many times over by not commuting anymore. So it's ethical for us to do it.",https://twitter.com/ShadowPowerup/status/1449150440269094918,152,5,15668,
554,kcimc,"@digitalcoleman @mariuswatz i'd rather talk about harm reduction than ethics. i think ""ethics"" too often turns into an either/or (something is ""ethical"" or ""not ethical""). i want to build and engage in systems that are less harmful. not seeing that in the NFT space—and definitely not ads either 😂",https://twitter.com/kcimc/status/1495873057302671360,6,0,35251,"['digitalcoleman', 'mariuswatz']"
1331,CryptoEjit,"@dfinzer @opensea Very 'soft' press release from #opensea.

The employ is @natechastain the Head of Product. He's clearly demonstrated he has no moral compass. The ethical thing for him to do is apologise and resign. But i guess he's too close to the bee hive with direct access to the honey. #NFT",https://twitter.com/CryptoEjit/status/1438137788227014661,4,1,714,"['dfinzer', 'opensea', 'natechastain']"
908,GilgBen,@comradejoner boutta be the most ethical NFT makers in the world 😂😂,https://twitter.com/GilgBen/status/1477430290092072963,1,0,599,['comradejoner']
1123,pidotburn,"Ni context aku nampak mat salleh mana tah duk perli artists yang stick to doing commissions and ask them to do NFT instead, there’s no right and wrong methods in earning money as long as its ethical and not scamming people.",https://twitter.com/pidotburn/status/1457718225228107783,34,1,9769,
1456,Ted_aka_Ethical,"@CryptoCobain WOWWWWWWWWWWWWWWWWWWWWWWWwwwwwwwwwwwwwwwwwwweeeeeeeeeewowwwwwwwwwwwwwww 

In-fact , bind it with NFT and auction it off as FIRST 2 BITCOINS mined from a Volcano .. A fungible asset with an Non Fungi value attested on it ..",https://twitter.com/Ted_aka_Ethical/status/1402688398276456448,7,0,253,
