,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
10804,FourthPaul,"@camolNFT @NFTethics And share influencers with hypebears, and do you believe this shitty NFT project has VC funding and is donating to charity? 
This thread is NOT  horrible, low effort rugs like this sap equity from the space and perpetuate the ""WL grind for scams"" mentality that plagues us.",https://twitter.com/FourthPaul/status/1493638937998462976,1,0,1276,"['camolNFT', 'NFTethics']"
4612,andrewace_15,"My last circle of homies! What’s good gang
@ChainSurfr
@chulo_chris_
@Thenizzar
@LegoatNFT
@fumeiji
@0xHarmon
@infamousXBT
@CryptoD12578554
@AMossguido
@lantana009
@TR8FFIC
@NFTethics
@ChimpedIn 
@Web3Shah
@Quinoa_NFT
@MikeVaynerchuk
@EmoBuddiesNFT
@Ryan_dgen
@PAST_nft
@camolNFT",https://twitter.com/andrewace_15/status/1509317524067917829,5,0,3224,"['ChainSurfr', 'chulo_chris_', 'Thenizzar', 'LegoatNFT', 'fumeiji', '0xHarmon', 'infamousXBT', 'CryptoD12578554', 'AMossguido', 'TR8FFIC', 'NFTethics', 'Web3Shah', 'MikeVaynerchuk', 'EmoBuddiesNFT', 'Ryan_dgen', 'PAST_nft', 'camolNFT']"
15339,monkeybetdao,"57/ We acknowledge and appreciate the mission of NFTethics to uncover inconvenient truths in this new and emerging space, as there are many bad actors. We fully acknowledge that there are areas we can and will improve upon.",https://twitter.com/monkeybetdao/status/1484956573839548423,6,0,8641,
1508,nft4dummies,@NFT_Awareness @NFTethics …and? Im not sure how that supports your claim that the US government doesn’t have the authority to regulate crypot,https://twitter.com/nft4dummies/status/1520028079858634752,0,0,1209,"['NFT_Awareness', 'NFTethics']"
1221,ChainLeftist,"@TaengzNFT @NFTethics - sees literal identity fraud
- is motivated to code more https://t.co/YmLVxq97Gz",https://twitter.com/ChainLeftist/status/1521428492667269120,5,0,5051,"['taengznft', 'NFTethics']"
3806,jnmwu,"@Kingetsuu @jhon_nfts @JuJulikesnfts @NFTethics Tbh, I’ve kinda never been one for simp culture. Maybe it’s fun for some or all of y’all, but for me it’s a bit much &gt;.&gt;

I say this as one who has not simped, but also has no simps 😂",https://twitter.com/jnmwu/status/1510721041357631491,1,0,534,"['Kingetsuu', 'jhon_nfts', 'JuJulikesnfts', 'NFTethics']"
10085,BookieDew,"@LoganOP_gm @0xQuit @NFTethics But isnt Will actually doxxed already? He has a great photo collection on OS, or am I missing a point here?",https://twitter.com/BookieDew/status/1494034488883568644,1,0,3165,"['LoganOP_gm', '0xQuit', 'NFTethics']"
6070,mrwinyousumoney,"@qumannakal @NFTethics @cerealclubnft Exactly!!! They wrong and wont say it, they claimed it was a rug and it wasnt they wrong but cant say it",https://twitter.com/mrwinyousumoney/status/1503860348184854531,1,1,7525,"['qumannakal', 'NFTethics', 'cerealclubnft']"
6988,HudsonGroupNFT,@NFTethics that was the most brief rundown of a rug but it's all there.,https://twitter.com/HudsonGroupNFT/status/1497635279200423939,4,0,1471,['NFTethics']
254,its_kiki_hehe,@NFTethics I think anyone who had been publicly threatened would delete their profiles too.. come on man 😮‍💨,https://twitter.com/its_kiki_hehe/status/1526643676470214656,1,0,7976,['NFTethics']
