,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
112,dystopAI_NFT,"Sometimes, you have to do what's right, even if it's difficult.

Integrity, transparency and fairness are core values of our project.

We will be moving the May 8 mint of Defenders of DystopAI to @OnePlanet_NFT.

https://t.co/kzoGbSskMj",https://twitter.com/dystopAI_NFT/status/1521126182837944320,217,50,13289,['OnePlanet_NFT']
667,ogBoplord,"@aboohowaerr @Hzmbruv @CYBR_nft Yeh imma leave that project, they couldn’t let us genuine grinders get WL early when they literally cucked us cause of the reset of invite links. I’d want some more fairness in a long lasting project.",https://twitter.com/ogBoplord/status/1485456227010326529,2,0,990,['CYBR_nft']
1390,James94511,"@BinanceChain @TrustWalletApp @PancakeSwap @bscscan @bakery_swap @BunnyPark_BSC @certik_io Check out the @ToadNetwork AMA with @XTexchange
 to learn more about a DEFI future driven by utility, fairness, and safety. This is what a project built on delivering value and security to their users looks like. 

$TOAD $PAD #DeFi #Crypto #NFT 

https://t.co/xvd6oik3VP",https://twitter.com/James94511/status/1415695300694626310,13,8,87,"['BinanceChain', 'TrustWalletApp', 'PancakeSwap', 'bscscan', 'bakery_swap', 'BunnyPark_BSC', 'certik_io', 'ToadNetwork', 'XTexchange']"
1312,artano__io,"@NFTFairness @Cardano_Budz @StaleDev @AuthorityDefi @NFTUpdateIO Thank you, we really appreciate it!

We hope to come to a consensus with the others in the space! It's a fast-moving environment, so we just want to make sure we align with everyone before making big decisions.",https://twitter.com/artano__io/status/1425838917723455493,1,0,8211,"['NFTFairness', 'Cardano_Budz', 'StaleDev', 'NFTUpdateIO']"
1435,cheecko1122,"#Tiaranft #NFT #TTI #BinanceSmartChain #Tiara does not manipulate assets or interfere with #NFT transactions because of the transparency and fairness that blockchain technology brings.
#Tiaranft #TTItoken #Binance #NFTartist #nftcollectors",https://twitter.com/cheecko1122/status/1400835847239323650,1,0,1581,
402,adam71965629,"@kbbyhoon 2
In the NFT world, fairness is a hot topic. With the NFT economy being driven by the community and creators, creating a fair NFT launch is an important way to demonstrate to customers that you care and that your project can be trusted.",https://twitter.com/adam71965629/status/1504001802089472000,1,0,577,['kbbyhoon']
73,solar_dex,"This Weekend we will start our first raffle with the RAREST Sentry #NFT that comes with 100,000 $Solar 

Raffle Ticket: 0.5 #Solana per entry 

Raffle will be open for 24 hours

Winner will be picked from a random generator that will be recorded for fairness - more details soon https://t.co/gV4eTCEv74",https://twitter.com/solar_dex/status/1525122317927337985,46,26,60327,
1218,Nello_CNFT,@CardanoBuzz @NFTFairness @ZombitsNFT @FahadoukenNFT @CNFT_IO After seeing the unmoderated shitshow that's currently going on on their discord this project is 100% a scam to me XD,https://twitter.com/Nello_CNFT/status/1432296595010240518,11,0,1206,"['CardanoBuzz', 'NFTFairness', 'ZombitsNFT', 'FahadoukenNFT', 'CNFT_IO']"
394,Twisty_Trading,Check out @illogics and their launch standard. There way is amazing and it’s provides fairness to its community and minters. #NFT #NFTs #NFTCollection #NFTartist #ALPHA #NFTCommunity,https://twitter.com/Twisty_Trading/status/1504594191460016129,4,0,637,['illogics']
532,serena_mollie,"Sliding scale or fixed price better for fairness? Im torn for my project, has someone done a sliding scale with a top fixed price?🧐🤔#NFT #NFTCommunity #NFTProject",https://twitter.com/serena_mollie/status/1495588062012882952,3,0,590,
620,thinkmoonio,"US Lawmakers Introduce ‘Virtual Currency Tax Fairness Act’ to Boost Cryptocurrency Use for Payments
#BTC #CRYPTONEWS #NFT
https://t.co/3QnwM5oLHs",https://twitter.com/thinkmoonio/status/1490100630769512448,0,0,454,
373,jastin432,"@Oxbull5 @Sad71617272 @Stickman_STMAN Many NFT game favors those who have upgraded, leveled and purchased large amount in-game items leaving those new players behind of them. How would #Stickman promotes fairness and equality to its players? Do the skills of the players matters more than the character?",https://twitter.com/jastin432/status/1506087801120382983,1,0,18,"['Oxbull5', 'Sad71617272', 'Stickman_STMAN']"
621,metamedic_nft,"Is there such thing as fairness? What's your opinion about that?🤔⚖️

You can purchase it here: https://t.co/MZBeg7YCpF

#NFTs #NFTCommunity #NFT  #Polygon https://t.co/OIIvbeXaeL",https://twitter.com/metamedic_nft/status/1490072253249249282,4,0,34,
592,SaifulI49646677,"@GameStationIO @Metagamz1 @KafayatObanigba Usually, NFT game favors those who have upgraded, leveled and purchased large amount in-game items leaving those new players behind of them.
How would promotes fairness and equality to its players?
Do the skills of the players matter more than the character?",https://twitter.com/SaifulI49646677/status/1492152971748311043,1,0,7,"['GameStationIO', 'Metagamz1', 'KafayatObanigba']"
1077,callerious,@budzdegen @NFTFairness @StaleDev @spacebudzNFT @FahadoukenNFT @cardanobulls Confession I snagged a few. Too funny not to.,https://twitter.com/callerious/status/1438254269631770631,2,0,1254,"['budzdegen', 'NFTFairness', 'StaleDev', 'spacebudzNFT', 'FahadoukenNFT', 'cardanobulls']"
1247,NFTFairness,@cardanowarriors Link and Shredder?,https://twitter.com/NFTFairness/status/1432060807580426243,4,0,274,['cardanowarriors']
231,TheKaiser_NFT,@DisneyAlexMax Yeah I agree with this. The entire process today took 5 hours. I like having the fairness of a queue but auto-purchase is a good idea.,https://twitter.com/TheKaiser_NFT/status/1512589913048305675,1,0,413,
1323,ChrisGraff,@NFTFairness @CNFT_IO Search filter for sold items should be a top priority. Without it there is no price discovery!.,https://twitter.com/ChrisGraff/status/1424466950588190727,3,1,2719,"['NFTFairness', 'CNFT_IO']"
685,nft_watcher_bot,"GIVEAWAY WINNER: @yaskman16 
Giveaway was all done on chain with this contract https://t.co/tMROJBZPY7 . If you want to verify the fairness: I did 4 drafts which creates 4 different random seeds and drew a winner from the last seed which was draft number 3. DM me @yaskman16",https://twitter.com/nft_watcher_bot/status/1484062390597545986,2,0,569,"['yaskman16', 'yaskman16']"
1419,MarkGoat4,"MarkGoat Is More Than A Meme Coin: Says Yahoo Finance. It gives a new definition of ""fairness"" to the NFT ecosystem. 

Medium link: https://t.co/jy28isNpYD

#cryptocurrency #crypto #investment #blockchain #cryptocurrencies https://t.co/PmDUOgbsQG",https://twitter.com/MarkGoat4/status/1407044379034980357,26,13,718,
1166,Padierfind,"@NFTFairness @theuttermost @nftmakerio @unsigned_algo @the_hoskinsons @CardanoCity Using the NFT-MAKER PRO API, yes.",https://twitter.com/Padierfind/status/1432687001648697347,2,0,24582,"['NFTFairness', 'theuttermost', 'nftmakerio', 'unsigned_algo', 'the_hoskinsons', 'CardanoCity']"
147,Euphoria623,"@mp__nft Now in fairness I've been told the community didn't expect it to be a mint, but instead a 1:1 with their existing 2D pal.",https://twitter.com/Euphoria623/status/1518691237519400965,1,0,382,['mp__nft']
1045,SpaceKnightClub,"🚨REVEAL IS TODAY🚨

Only minted Spacewalker will be revealed today! 

We have worked hard to ensure randomness and fairness in the attribution, with no possibility to snipe the NFT (even for the admins) 👀

#reveal #NFT #nftart #nftdrop https://t.co/3DwWcqtIeC",https://twitter.com/SpaceKnightClub/status/1442787789284773891,11,2,7822,
363,bwolf43,"Hey everyone. I know theres people waiting for @RainShipNFT review.  

I went to  discord and one of the top guys (very patient with my questions, very good sign) mentioned a new website is being worked on.

So in fairness. I'll hold off until then. #NFT #passiveincome #maticnft",https://twitter.com/bwolf43/status/1506802987909349378,8,2,342,
