,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
3672,PaolaPinna__,Amazing curation by @cibellecibelle ✨let’s make the NFT space a more inclusive and fabulous one  💖 have a look at this foundation selection,https://twitter.com/PaolaPinna__/status/1468952525248229376,3,0,1244,['cibellecibelle']
323,sketchies_cnft,"Since the mission of Sketchies was to build an inclusive #CNFT community - we are offering  WL for everyone that wants to join us in our mission

See discord for more details

Meanwhile, check out our @IOHK_Charles 1:1 😱

#CNFTCommunity #CardanoCommunity #NFT #NFTartist #Cardano https://t.co/UHVxelgqsb",https://twitter.com/sketchies_cnft/status/1523670284435218432,10,0,1315,['IOHK_Charles']
562,PixelSaurusNFT,"Only 245 mints to go... (0.05 ETH) 👀🦕🦖🌋
🔗 https://t.co/AibesNcvw9

🫂 Fun, family friendly, diverse &amp; inclusive!
🫵 Choose up to 3 x traits!
📗 Hand-written background story!
🔒 Safe &amp; secure minting!
✅ Trademarked &amp; OpenSea Verified!

#nft #nfts #dinofam #rawr #pixelsaurus https://t.co/trkCX2eYEL",https://twitter.com/PixelSaurusNFT/status/1519434944916987915,14,7,8112,
2385,_1337fox_,"It's not just about being successful, it's about creating an inclusive and collaborative space. 

Where everyone's opinions are heard and valued.

#1337Fox #NFT #NFTs",https://twitter.com/_1337fox_/status/1491162420651327495,3,0,352,
2964,JustAshleyNFTs,New to the NFT space? I’ll be posting daily helpful tweets to get you started on your journey. Not new to the space? Chime in and let’s build an inclusive community. #NFTsForBeginners,https://twitter.com/JustAshleyNFTs/status/1483515441477668865,46,2,1336,
2105,Web3Alerts,"🚀 New project alpha alert: @ValeriusDAO (75 followers, account created 145 days ago)

Description: ""NFT Marketplace &amp; DAO centered around providing a safe and inclusive space for creators, collectors &amp; builders to learn &amp; collaborate on @harmonyprotocol  🎨""",https://twitter.com/Web3Alerts/status/1495333778566352897,1,0,12074,"['ValeriusDAO', 'harmonyprotocol']"
1251,breadcheeks_nft,"my favorite things about blootopia @blooloops is the unique, beautiful animated art that includes so many cute female characters as a #WomaninNft it’s important to me to engage in inclusive nft projects 🥰😍  

@blooloops @waitlessmess https://t.co/aN77HKPJ9D",https://twitter.com/breadcheeks_nft/status/1509151651500036106,14,2,23,"['blooloops', 'blooloops', 'waitlessmess']"
3690,mintdotstore,"CAUSE: Work smarter and harder to make the brand/team/league NFT ecosystem easier and simpler  for #marketers.
&lt;---------------&gt;
EFFECT: Make #NFTs and experiences more accessible and inclusive for more fans, consumers, and collectors.

#web3 #NFT #community #engagement",https://twitter.com/mintdotstore/status/1468677008578080769,1,0,1275,
4247,Thorwagmirok,"Question: In the world of NFT's discords and uber inclusive communities, how do creators protect against their ideas and strategies getting borrowed early on? Moles harvesting from other projects and sharing around?  Not that it is totally destructive, possibly outdated thinking?",https://twitter.com/Thorwagmirok/status/1454837888164810753,1,0,2111,
3631,Bertinumnums,"When looking for the perfect NFT to invest in, little did I know I would find such a warm, inclusive, active community that I have with @RaptorCityNFT - the team always acting on feedback and proactively taking care of the community - join us https://t.co/MISq0BRlGj #raptorgang",https://twitter.com/Bertinumnums/status/1469787590794649600,2,0,84,['RaptorCityNFT']
958,sugandhadubey,"What to reflect is NFT is a bubble? Or for a good time going forward! Join this space. So inclusive! #NFTCommunity #nftbubble #
 https://t.co/Mblyj8nVwV",https://twitter.com/sugandhadubey/status/1512924643811905537,1,0,846,
1222,QueerFrens,Looking for the grooviest &amp; most inclusive art like... ever?? We know there are many choices in the NFT space but we don't see it as competition. One of our goals (when we sell 75% of mints) is to begin collecting art from other LGBTQIA artists. Isn't that rad? ❤️🏳️‍🌈✨ #queerfrens https://t.co/1ohHwkc9zY,https://twitter.com/QueerFrens/status/1509523409943740417,11,4,2859,
1873,KevinD_NFT,@Nonprofit_NFTs @SolMintDaily Such inclusive projects nowadays. Getting very irritating,https://twitter.com/KevinD_NFT/status/1499161159924125696,1,0,116,"['Nonprofit_NFTs', 'SolMintDaily']"
1539,NFT_SCOUTS,@ExpansionPunks @worldofwomennft Both projects are very diverse and inclusive. Team and founders of both projects are transparent and visionaries #TheTimeIsWoWG #WoWG,https://twitter.com/NFT_SCOUTS/status/1505170108087427072,1,0,16,"['ExpansionPunks', 'worldofwomennft']"
1732,AirBee16,Hydraverse is a metaverse play-to-earn PVP dragon racing game in which users can have many financial opportunities through the digital NFT dragons. Hydraverse aims at building an inclusive metaverse ecosystem to become a leader of P2E industry with the following highlights:,https://twitter.com/AirBee16/status/1501454231689117697,9,1,1272,
64,thematicman,"Zoop will build the NFT marketplace on top of the Polygon Blockchain because, like Zoop, Polygon aims to make Web 3 inclusive. The golden combination of low transaction fees and high transaction speeds would ensure that Zoop is accessible and safe.

#NFT 

https://t.co/hE2R3Ga8YN",https://twitter.com/thematicman/status/1530125669945974786,15,4,5418,
2349,RotSnocket,"Come join the #chaingang in Punta Cana in June

Diamond holders of @chains_nft  get an all inclusive vacation for two 
#ChainsDR https://t.co/DEeAwL8aJH",https://twitter.com/RotSnocket/status/1491572877010751488,7,7,296,['chains_nft']
915,JakGrills,"@cas3333333 1 clone is 1 clone and 1 NFT is 1 NFT. We need to remain inclusive and positive of the entire space, always. We need to hold ourselves to higher standards, we need to be the WAGMI vibe in the chat, spitting rainbows and cultivating dreams. “Play that sweet beat” 🎤 🤝💁‍♀️🐰💜🦍",https://twitter.com/JakGrills/status/1513875871253377031,5,0,3716,['cas3333333']
2681,stargirl2218,Happy birthday to @elionmelody!!  The world is a better place with this beautiful &amp; selfless soul in it.  He is one of the first men I met in the NFT world who was inclusive &amp; commanded a safe space for women 😢💕👇👇👇👇👇👇 https://t.co/oTLx0uEdlu,https://twitter.com/stargirl2218/status/1487093021048913925,6,1,1941,['elionmelody']
4096,GENAI_NFT,"@bluem0xn @ShoeRare This is great feedback and definitely something we are constantly thinking about.

The fine balance between lyrical style + what we stand for as a project is an important balance to find. 

I believe this can be accomplished by choosing future artists with more inclusive styles.",https://twitter.com/GENAI_NFT/status/1457817414838665220,2,0,3474,"['bluem0xn', 'ShoeRare']"
1338,drjeremynft,"@PHYSICIANFT @WeirdMedicology @ABigThingBadly @girldadNFT @topshotswickie @nftnoobie He's built an alt-text feature and will be looking to create accessible on-ramps for folx with disabilities to enter the NFT space. 

I think creating a more inclusive Web3 is really important to all of us.  DYOR but we should throw support behind Luns today.",https://twitter.com/drjeremynft/status/1507711191988244480,5,0,5191,"['PHYSICIANFT', 'WeirdMedicology', 'ABigThingBadly', 'girldadNFT', 'topshotswickie', 'nftnoobie']"
2642,iamPonyNFT,"You Won't Want to Miss Out!!
❌ Come Join a Movement! ❌
@iam_tribex
Be Part of An inclusive Empire. 💯
Grow yourself with Tribe X ‼️
https://t.co/8GZuG15NEE

#nft #nftart #NFTPromoter #NFTCommmunity https://t.co/ivjhPd7Woh",https://twitter.com/iamPonyNFT/status/1487696776622653447,13,5,3598,['iam_tribex']
