,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
893,KarolinaFuksova,"@nft_Ohgee Yea, I forgot his moral compass is not as strong as mine. I do think about drivers and teams tho, rather than fans, working without respect must suck.",https://twitter.com/KarolinaFuksova/status/1487518336036622336,0,0,380,['nft_Ohgee']
1368,plantainpilled,sellout era. being a good and moral person is not only subjective but exhausting and sometimes unrewarding. like so what an nft uses more energy than like a billion flights that are far asf mayb i will make one of my clitoris so i can keep playing this silly little dystopian game,https://twitter.com/plantainpilled/status/1459680140728803328,1,0,26,
1795,TheElroyJenkins,"Searching DAOs and trying to understand them. As a Black artist I like @cypherdao since they’re supporting art by Black creators. I dig @Ultra_DAO because I know artists rocking with them. Moral of the story: I am still a student in this space.

#artists #NFTart #NFTartists #NFT",https://twitter.com/TheElroyJenkins/status/1409875409244758021,5,3,1522,"['cypherdao', 'Ultra_DAO']"
1185,ElbenherzArt,"@nickjgraves @kortizart @CaptainNoPaints @JKashaar Look, I'm incredibly anti NFT from a moral point of view, but I'm not going to fall colleagues in the back because they decide to eventually participate if this space improves and gets safer. You are angry at the wrong people.",https://twitter.com/ElbenherzArt/status/1471531519026114561,1,0,32971,"['nickjgraves', 'kortizart', 'CaptainNoPaints', 'JKashaar']"
1807,RaioVtube,"@JoveJun NFT's are a scam.
The NFT market allready crashed.
And they are a heavy toll on the environment.
Many artists have lost many followers for going into NFT.
I would advice, especialy for moral reasons, to not engage in that market.",https://twitter.com/RaioVtube/status/1405040041924169730,4,0,18,['JoveJun']
1550,PragatiSinghNL,"@CryptoVonDoom @SKB_nft @OddballClubNFT Wow, this is a moral booster. Thanks for breaking this good news and making me weekend special",https://twitter.com/PragatiSinghNL/status/1446472537567862796,2,0,632,"['CryptoVonDoom', 'SKB_NFT', 'OddballClubNFT']"
613,bankrollwifi,"@JohnNicklas8 @cameronmoulene Everyone doesn't have the same moral compass. Stealing Jpegs and reselling them, Are a low risk and High reward from what I seen in the NFT community. It just comes down to who's smarter and knows how to use programming smart contracts to their advantage.",https://twitter.com/bankrollwifi/status/1499386252512145411,1,0,130,"['Johnnicklas8', 'cameronmoulene']"
423,PolygonSkulls,"🔆 “Human happiness and moral duty are inseparably connected. ”
— George Washington

💀 Check out this SKULL 👇 on @opensea
https://t.co/6XztM0QzXE
#NFT #NFTs #nftcommunity #nftcollector #NFTCollection",https://twitter.com/PolygonSkulls/status/1510130276361555971,6,1,4638,['opensea']
494,Loganthedudee,"NFT culture is so strange at times. 

It's almost like original thoughts get punished, until someone completely rips your idea off, hires a whole team to make your original idea a new WEB3 business model... 

Moral of this tweet, CHAMPION original people, STOP doubting dreamers",https://twitter.com/Loganthedudee/status/1506547447585288192,6,0,16294,
459,moral_haphazard,"Ok unfollowing now. I thought she was some NFT celeb, had no idea she was in Sweet Home Alabama",https://twitter.com/moral_haphazard/status/1508101706747424768,0,0,34,
1387,persecutedsgin,This is such a weird issue to take a “moral” stand on. Like the hypebeast NFT’s are cringe but what is their actual complaint,https://twitter.com/persecutedsgin/status/1458410390396735491,3,0,3565,
345,CrazyCryptoCarl,Monetization is a bigger moral compass than long term vision and ethics for 90% of the NFT space.,https://twitter.com/CrazyCryptoCarl/status/1513600572515131399,16,1,20391,
725,nft_guardians,"🎴 HOW YOU'LL BE IN 2022? (PART 3)
♎️ Libra: achieve life goals as a result of strong moral ideals.
♏️ Scorpio: become an expert in a variety of areas.
♐️ Sagittarius: developing a quick mind and decision-making ability.

Find out details at: https://t.co/1raRZ6bV1j https://t.co/75H9xDk4BP",https://twitter.com/nft_guardians/status/1494325771581763584,4,2,3474,
