,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
143,Saferfantasycr1,"@OldShabbyGamer Cheers Rob. I'll give it a go.
Part of me doesn't want to understand it. Fear I'll be sullied by the knowledge!
Something about it really gets my goat -Like, celebrities lecturing us plebs about saving the planet then they waste money on NFT shit!
Faux morality!-all just fashion!",https://twitter.com/Saferfantasycr1/status/1486473246358876160,1,0,198,['OldShabbyGamer']
239,JustSeanC,"@TheAmazemanRBLX Like NFT issues aside, for a developer with influence over millions of CHILDREN to publicly state that morality does not matter to them is so fucked up I can’t even wrap my mind around it",https://twitter.com/JustSeanC/status/1458199532039245828,9,0,2337,['TheAmazemanRBLX']
90,1st_jakep,"THE ETHEREUM SNAKE 🐍

Worshipped as the God of Judgement, the Snake Samurai stands for morality and righteousness, protecting humanity from greed wherever she goes.  

https://t.co/nxaloDo5Mk
 via @rarible 

#NFT #Ethereum #Samurai_Story #Snake #Goddess #DigitalArt #Rarible https://t.co/f90F14Xey2",https://twitter.com/1st_jakep/status/1501421757516836867,5,0,1,['rarible']
200,catovitch,"Incredible bathroom scenes. Dump piled so high it towered above the water line.

I almost took a photo to sell as an NFT, but my steadfast morality kicked in.",https://twitter.com/catovitch/status/1468884682079195136,7,0,4678,
104,M4T_NFT,"Morality, like art, means drawing a line someplace https://t.co/Gy7rVtk0Pt",https://twitter.com/M4T_NFT/status/1496968186025189383,3,0,6829,
10,ExploreDownto,"I created this collection a while ago (I think, time is weird in #NFT world). I'm proud of it. The fact that the great @lorigraceaz collected one made me beam with pride

I'm more than one type of photographer. The Scent of Morality was made to show that.

https://t.co/2NGW4vL7Wu",https://twitter.com/ExploreDownto/status/1528648316124561410,8,2,3301,['lorigraceaz']
79,WinnersClub_NFT,"Aim above morality. Be not simply good, be good for something.",https://twitter.com/WinnersClub_NFT/status/1505995372656738312,7,7,1219,
39,Versuhtyle,"Yuga’s level of morality and trust?! They aren’t unethical but are you focking kidding me lol

I can name many projects with perfect morals that have 100% of my trust, they just haven’t made us rich

Also by definition no NFT is a blue chip. Support Yuga w/o shading everyone else",https://twitter.com/Versuhtyle/status/1523998072967208961,4,0,7547,
201,highbrowtrash,"@SheriffFreak I 100% agree with you. And you shouldn't hobble your own community w/ morality policing against individuals that you dont apply against industry because you can explain it away with the diffusion of responsibility. The scales are already unbalanced enough.

*Sonic nft screenshot*",https://twitter.com/highbrowtrash/status/1468877705584201728,1,0,2211,['SheriffFreak']
212,Varcarus,I hope those who use NFT's get scammed out of their money and morality.,https://twitter.com/Varcarus/status/1466856737319829511,2,0,417,
260,Admo200Do,"@RocketYonder @Devontejsp @Kranitoko @Kotaku He's not wrong tho. I'm totally favor on baning those games but morality doesnt work for some things and for others not. If media has The capability to influence people (wich i don't belive) then every Game thats portraits a crimen should me banned. Also, NFT did nothibg wrong.",https://twitter.com/Admo200Do/status/1449738270502383621,1,0,165,"['RocketYonder', 'Devontejsp', 'Kranitoko', 'Kotaku']"
16,ROCKSTAR77716,"Tamriko | Georgia 🇬🇪

Your attention Tamriko. This girl with pride, high morality, incredible love for 
the motherland and her own family.
    
Collection : People from the world 
    💦Available on @opensea💦
0.007 $ETH - Polygon blockchain🔥
https://t.co/FSpiJBePVB

#nft #art https://t.co/LDZNE3ZwE6",https://twitter.com/ROCKSTAR77716/status/1526851203966980097,4,0,2571,['opensea']
