,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
223,DreadLord_NFT,@theuglypeach1 @LegendsofAsians is minting now! Project started to raise awareness of racism towards asian. Art work is influenced by the cultures of different Asia countries!,https://twitter.com/DreadLord_NFT/status/1510986725929091072,2,0,1016,"['theuglypeach1', 'LegendsofAsians']"
284,101_racism,Thanks NFT Tracker for the follow!,https://twitter.com/101_racism/status/1505804101916975105,1,0,558,
188,illiuminati_NFT,@MartianM_NFT @EdotX7 https://t.co/mGJMkW3SpG    against racism,https://twitter.com/illiuminati_NFT/status/1515804677849427974,0,0,6,"['MartianM_NFT', 'EdotX7']"
31,WhyLose,NFT Project Milady’s Charlotte Fang Accused Of Racism And Homophobia :- https://t.co/nLpP3lX6IH #Crypto #Trading,https://twitter.com/WhyLose/status/1529100548443557888,1,5,5988,
40,newsasia360,"Dune Crypto Leader Quits NFT Project After Being Accused Of Racism, Homophobia &amp; Grooming https://t.co/M5rSZoOY60",https://twitter.com/newsasia360/status/1528959124268015621,1,0,976,
177,SnoozlesNFT,"We help tackle climate change, health problems, war, violence, racism and inequality ⚡️

We, the Snoozles, were designed for a better world. To create a bright and meaningful future ✨

#NFT #NFTdrop #NFTcommunity #WomenInNFT #NFTlover #NFTcollections https://t.co/BTvd5qpTWu",https://twitter.com/SnoozlesNFT/status/1516438009662656513,7,2,1261,
36,CoinCoinClan,"INFO 📰: Dune #Crypto Leader Quits #NFT Project After Being Accused Of Racism, Homophobia &amp; Grooming

(Source: Kotaku)
https://t.co/P0DGCpLd56",https://twitter.com/CoinCoinClan/status/1529010562956500992,1,0,1027,
365,arzrmz,"Can’t wait to start my NFT journey on @KnownOrigin_io 
ART UNITES PEOPLE. 
We need to find a platform that respects the artists 🤍💫 
There is no place for racism✌🏼🕊

#NFTCommunity  #NFTartist #cryptoart #cryptoartist #nftart",https://twitter.com/arzrmz/status/1499807870845603840,6,0,418,['KnownOrigin_io']
45,Busines65959783,"Dune Crypto Leader Quits NFT Project After Being Accused Of Racism, Homophobia &amp; Grooming https://t.co/g2vBtUyXmo",https://twitter.com/Busines65959783/status/1528919293462732801,0,0,473,
287,RealLitVirus,"#NFT #NFTs #nftart  #NFTartist  #NFTCollection #ETH #Bitcoin 
It is your imagination 
The question is in your mind!

It could be about the war, gas prices, inflation, racism, 
politics, freedom of speech, etc. 

You can have your own interpretation of art! https://t.co/ZTFL9a01rd",https://twitter.com/RealLitVirus/status/1505571672870600706,4,0,30,
27,Cryptoprenure,NFT Project Milady's Charlotte Fang Accused Of Racism And Homophobia - Bitcoinist https://t.co/nCTv7d2znN #CharlotteFang #Dune,https://twitter.com/Cryptoprenure/status/1529150368709369856,0,0,2327,
400,Sabine_Noll,"@NFT_NEWS_USA I try Not to be racist, it is just my experience when i traveled there. I observed a lot of racism and antisemitism.",https://twitter.com/Sabine_Noll/status/1497738776864600069,2,0,131,
448,brunneisvir,@FairyFiends @NoNos_NFT @maliceplayer NO NO TO RACISM!!!!,https://twitter.com/brunneisvir/status/1493983296325304330,1,0,47,"['FairyFiends', 'NoNos_NFT', 'maliceplayer']"
554,NasarAliens,"Good morning humans, 

We have noticed that you differ according to the place where you were born, or your religion, or even your skin colour... 

In Nasar we are all equal, since we are all aliens, just as you are ALL HUMAN!! 

Say no to racism🚫

#RacismAndHealth #NFT #humans https://t.co/PYYlxdzkFN",https://twitter.com/NasarAliens/status/1489534021826719744,4,2,210,
412,For_Them_4,"He takes so much pride in his artists. And this whole nft bs is so shameful for BLACKPINK. Also, atleast Lisa wasn't faced with so much RACISM back when he was the one",https://twitter.com/For_Them_4/status/1496336037831974913,1,0,402,
93,anthrobuff47,"Justice up, racism down.
 #CivilRightsNFT #JimCrow #Mississippi #book #RETWEET #NFT #NFTcommunity  https://t.co/oEkT5tDYvd via @opensea",https://twitter.com/anthrobuff47/status/1525906348839292930,4,1,230,['opensea']
11,Cryptskii,"@NFT_Spooked @liloldhead @LonelyPopNFT Making this statement? Or are you doing the exact thing your are upset with us over? Only it is not you?

We are human. We thought we were eliminating racism. We make errors. We also are willing to fix them too ☺️. Please allow us to unblock your account. Open a ticket.",https://twitter.com/Cryptskii/status/1531300101880172545,1,0,2219,"['NFT_Spooked', 'liloldhead', 'LonelyPopNFT']"
546,veno_net,"@BlindS1 nft shit loves to tell you it's the future while also refusing to engage in any aesthetic other than ""r/art"" and ""2020 Walmart Anti-Racism Training Video""",https://twitter.com/veno_net/status/1489764080042848258,1,0,425,['Blinds1']
573,Sleestak,"Celebrities panicked they haven't been talked about for 15 minutes be like ""Time to do a racism, terf or NFT.""",https://twitter.com/Sleestak/status/1488918891728302081,1,1,1462,
149,MIRZA_NFT,"Ok big win for free speech, besides the positive affect’s, will we have also more hate speech, more racism, more abuse? @elonmusk … asking for a friend.",https://twitter.com/MIRZA_NFT/status/1518845946087493633,12,2,3088,['elonmusk']
320,lonebirdart,"@jf_nft ""An example of humanity is all the people in the world. An example of humanity is treating someone with kindness. There is no place for racism in our world...""
https://t.co/LivmRf7eoY",https://twitter.com/lonebirdart/status/1502609640500178945,1,0,900,['jf_nft']
