,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
1820,pitafe15,"#Binancesmartchain #BSCgem #NFT #junglekingdom #defi ,I think this project will be successful as transparency and safety is exactly what we need to strengthen in the crypto world.",https://twitter.com/pitafe15/status/1509875150669426698,1,0,12055,
404,Footprint_Data,"📰May 15 News📰

The Circulation of #USDC on the #TRON Chain Has Exceeded 1B 

Japanese Emoji Manga #NFT Company Minto Completes 660M Yen Financing, Led by @piccoma_jp 

@circlepay Releases USDC Transparency and Trust Report: Reserves Total $50.6 Billion 

https://t.co/g82eTg8Odo",https://twitter.com/Footprint_Data/status/1525970912591241216,2,1,20286,['piccoma_jp']
6840,0xTandough,"I can't get over the level of transparency Web3 provides.

With Dune Analytics, you can see revenue numbers for the entire DEFI and NFT market.

If this were possible at Web2 companies, companies would potentially be less focused on quarterly numbers and more customer focused.",https://twitter.com/0xTandough/status/1446156971493806087,1,0,197,
6675,C_FranNFT,"@NFTLlama One of the driving forces of this technology is transparency. @fame_ladies being 3 dudes was uncovered due to the paper trail. Same with @nate from @opensea (not to shade) 

The anti NFT maxi behavior is just as laughable as it is immature and based on nothing.",https://twitter.com/C_FranNFT/status/1449553478024671234,2,0,369,"['NFTLlama', 'fame_ladies', 'nate', 'opensea']"
6010,LKBJCrypto,"The biggest 3 problems I see with NFT projects is

~Transparency, 
~Execution
~Post Mint",https://twitter.com/LKBJCrypto/status/1462072535856599047,11,0,598,
6990,wenmilkk,"@digitalartchick @NFTmachine I’m personally not frustrated about you receiving the nft’s, I just would’ve appreciated a tweet for clarification for transparency if you haven’t before the launch, helps people understand you’re doing a service and not actually minting yourself.",https://twitter.com/wenmilkk/status/1442600287504527362,2,0,13889,"['digitalartchick', 'NFTmachine']"
6847,GrandBazaar_nft,"The Jed Foundation, a non-profit organization working to prevent suicide for American teens and young adults. Founded in 2000 by a couple who lost their youngest son to suicide. 4-stars ( highest rating) for its financial health, accountability and transparency.",https://twitter.com/GrandBazaar_nft/status/1445994703996866560,2,0,1679,
7189,Junioee2,"@Smart_NFT_News @PolkaFantasy @chainlink It's a good thing many platforms value security and transparency, people tend to run if they suspect a platform isn't safe for them that's why @PolkaFantasy they took this step and integrated @chainlink #VRF to show people transparent transitions on their platform.",https://twitter.com/Junioee2/status/1437506867861737474,1,0,186,"['Smart_NFT_News', 'PolkaFantasy', 'chainlink', 'PolkaFantasy', 'chainlink']"
5156,ExilesArt,"You click a link to allow this account the ability to place your #NFT in the gallery. For complete transparency only 3 ppl have access to this account: @bright_lightart @ha14asa @polleyovski - if you have concerns your link isn’t legit, contact any of the above.",https://twitter.com/ExilesArt/status/1477540717618774024,7,0,1407,"['bright_lightart', 'ha14asa', 'polleyovski']"
743,BearGlyph,"NFT backers trying to sell people on their tech:

""You just don't understand the value and transparency of a distributed ledger, how amazing this is going to be for creators and patrons! There are so many possibilities!""

The community these same people made and take seriously: https://t.co/v7UMp8aq5c",https://twitter.com/BearGlyph/status/1522206025721561089,3,0,3099,
3868,P8erade4u,"@benjamintopshot Oh bless Hank’s heart…he doesn’t understand the value of the blockchain and the transparency it provides. And…wait for it…NFT’s are on the blockchain and that’s what gives them value because they are easily authenticated like, say, a real estate transaction. 🤷‍♂️",https://twitter.com/P8erade4u/status/1490150349671260163,2,0,1540,['benjamintopshot']
6367,Kenshiro_NFT,"@ViolettaPJones Calling them out on their bullshit and demanding transparency, love it",https://twitter.com/Kenshiro_NFT/status/1455355596744581121,2,0,35985,['ViolettaPJones']
7419,0xcryptojag,"@Hodlers_NFT Trust, transparency, and communication 🔥 #hodl",https://twitter.com/0xcryptojag/status/1428513800693628929,1,0,1203,['Hodlers_NFT']
7426,highpunks,Transparency and patience is key. Especially in the #NFT space. It helps we smoke a shit tone of weed I guess 💪 #HighPunks 👊🌿,https://twitter.com/highpunks/status/1428390699418927110,12,1,1925,
6653,Adnan_crpt,"Congratulations to the @GetProtocol team!

This is an amazing milestone for the ticketing space, the blockchain space, the #NFT space and #crypto in general.

They won't stop until they've conquered the 🌍, made every ticket an NFT, brought transparency &amp; fairness to the industry",https://twitter.com/Adnan_crpt/status/1450031274039652356,37,2,1536,['GetProtocol']
