,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
7953,IbrahimBF5,"@CryptoAnglio @Flamingos_nft 
Why the Mingos?

💰 Transparent community fund initiated
🤝 Collab + Mingo #nft giveaways
🪙 $SHRIMP under development
💎 Diamond handed community
🧠 Mental heath &amp; wellbeing channel
🤣 Party vibes",https://twitter.com/IbrahimBF5/status/1462042452349665288,6,0,880,"['CryptoAnglio', 'Flamingos_nft']"
11975,rumblefis,"@GaiaEliteClub @GaiaEverWorld A good project and strong team in a predictable and transparent road map , planned and projected. I think in the near future we will see an unprecedented growth of this project.

@Coin_Laden 
 
@SulastriHasshim 
 
@Monarch231 

#NFT #GaiaEverWorld #GaiaEliteClub",https://twitter.com/rumblefis/status/1444970537420165132,2,0,95,"['GaiaEliteClub', 'GaiaEverWorld', 'Coin_Laden', 'SulastriHasshim', 'Monarch231']"
8317,ocean_pic_0_,"🚨New Drop🚨
Transparent friends!
We can even see their brains!🤪
.
.
🙏1/1 art &amp; 0.01 ETH🙏
😊If you want to see more projects?
Link: https://t.co/VJl55biLLw

#NFT #NFTs #NFTCommunity #NFTartist #NFTart #nftcollector #NFTcollection #OPENSEA #OpenSeaNFT #art #artist https://t.co/HSuai5qOmS",https://twitter.com/ocean_pic_0_/status/1459904820165316608,14,4,2531,
5085,DegenSoul,@BAYC5511 @jdotcolombo @0xApes_NFT @BoredApeYC @allseeingseneca 😂 I’ve been 100% transparent in my position. I own 62 apes and yes I will pump my community to the top. Sadly my initial investment is a fraction of what people are overpaying for floor BAYCs.,https://twitter.com/DegenSoul/status/1486834259591667716,2,0,16302,"['BAYC5511', 'Jdotcolombo', '0xApes_NFT', 'BoredApeYC', 'allseeingseneca']"
354,markede2022,"I am very grateful to be part of the dobies family, interactions within the past week has given me more insight on the NFT space. and i'm grateful for all the mods here frankly  being a part of dobies family transparent work you are doing creative community 
@DobiesNFT @jpegzack https://t.co/X4k8l2v78K",https://twitter.com/markede2022/status/1527390868407296001,2,0,269,"['DobiesNFT', 'jpegzack']"
4310,dadanhamdani24,"#AFEN #NFT #AfricanNFT Excellent project for future with a strongs team, transparent, planed, and this project will succesfully. Thennn going to the moon 🚀🚀🚀

@sanguan26
@hamdani972
@simeon191",https://twitter.com/dadanhamdani24/status/1492628499345330176,0,0,63,"['sanguan26', 'hamdani972', 'simeon191']"
10831,am180__,"@NFTBomb This is excellent project for the future with strong team, a transparent, planned and project roadmap. it will be successful. and I am here to really support your https://t.co/oy47zrVd5d popperParty popper

@AsephiDIY

@Todoleo

@rahpen12
 
#Airdrop #NFT #NFTBomb",https://twitter.com/am180__/status/1449993700164071425,1,0,28,"['NFTbomb', 'AsephiDIY', 'Todoleo', 'rahpen12']"
15547,rajdevom,"The New NFT King has arrived👀
#Nftproswap  is the most reliable,transparent app in the market 🔥 by #Revonetwork 
 where you can Convert Your NFT to Tokens &amp; Trade It On DEX 🚀 
 Atomic NFTs  Turbo Swap many more 🔥🔥
Easy 30× to 50×
@nftproswap 
@Timothyolagoke 
@RevoNetworkapp",https://twitter.com/rajdevom/status/1400797235491729408,9,5,45,"['nftproswap', 'TimothyOlagoke', 'RevoNetworkapp']"
2752,social_inu,"@WhaleEverything So you are looking for a real gem I see. Take a look into #CPTINU The team is ultra transparent &amp; really community oriented! Really bullish for the upcoming NFT comic series, Dex &amp; the Game Assets! Still a hidden gem but people will realise soon.",https://twitter.com/social_inu/status/1505280285507784712,1,0,140,['WhaleEverything']
2307,Leinad_osnola,@FionnOnFire Create more player-related content for the league that they are playing; make org decisions more transparent and less PR; ban NFT's; make academy/B teams have the chance to fight for a price against the main league; relegation must come back.,https://twitter.com/Leinad_osnola/status/1509009955109621763,2,0,55,['FionnOnFire']
