,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
3503,DoxxedNFT,#NFTCommunity We let a scammer who rugged 3 projects create one of the most well known NFT projects #Azuki...and trust me this is not the 1st case. All made possible because we keep supporting undoxxed teams. No wonder the rest of the world doesn't like NFTs.,https://twitter.com/DoxxedNFT/status/1524476111874260993,5,0,414,
1878,Domainclubx,"trustme.eth
for sale 8 ETH

#trust
#domainsforsale #web3 #Unstoppable #ud #unstoppabledomains #nft #Domains #nfts #ens #domainsforsale #ensdomains #polygondomains #ethereumnames #emojidomains
promo @Spielgeld2
https://t.co/05oKoR8fwj https://t.co/IWZeJffbXV",https://twitter.com/Domainclubx/status/1528107564801703937,4,2,965,
11996,mrnft2003,"#Family the most important thing for me  is your trust your love your faith in me 
And these are the keys to success.
#NFT #nftcollectors
#NFTdrop #NFTGame #NFTs #nftmusic",https://twitter.com/mrnft2003/status/1512798833880625152,5,0,2983,
9767,Eden79359479,@AmineMaTue ok mais i need a logo NFT metamask crypto coinbase sugardaddy il faut bien le faire hein trust wallet ah zebi ratio opensea bug BTC ETH BNB besoin logo 3d meta mask,https://twitter.com/Eden79359479/status/1515340224892649482,4,0,10,['AmineMaTue']
28099,pozzzza,@VenturaNoTT @opensea @Sea3P0 help funds stolen metamask trust wallet daedalus hacked binance yoroi coingecko crypto nft project invest eth shib buy opensea bitcoin keys lost locked,https://twitter.com/pozzzza/status/1485276479994929155,1,0,2100,"['VenturaNoTT', 'opensea', 'Sea3P0']"
42170,Cryptolette1,"@FullM3talMag @CryptoSlutsNFT @Trustworks_NfT IN #FULLMETALMAGDALENE WE #TRUST 
#NFT",https://twitter.com/Cryptolette1/status/1445181286104977408,1,0,33,"['FullM3talMag', 'CryptoSlutsNFT', 'Trustworks_NfT']"
39356,Mulajhha,"@degencoinsol tanks....Impresive and great project. I trust this project can be successfully
@Airdrop016 
@Saszl83065Yang
@doaibu1991 
@TQueenara

G1GmNjuPMoTD15r3BkmaRd9w7BnrASfkhNCUFkjDzumM

$DEGN
$SOL #Solana #SolanaAirdrop #NFT",https://twitter.com/Mulajhha/status/1454653982236823558,0,0,268,"['Airdrop016', 'Saszl83065Yang', 'doaibu1991', 'TQueenara']"
2438,indu40io,"Do you know the feeling of making progress as fast as if you were watching grass growing? Thanks to your trust in our @indu40io team and project, we see that we are on the right track. Thank you!

#ICO #CryptoNews #cryptocurrency #Industry40 #INDU #NFT https://t.co/DMjiO0fZlx",https://twitter.com/indu40io/status/1526875130076573696,49,26,2649,['indu40io']
35246,ppgrtn420,"@solradar_io @mynftspace_art @FortuneFinance_ @OfficialCultist @SolluminatiNFT @MonkeyKingdom_ @PhenomPhoenixes @ASTRALAPES @TowerDAO @peskypenguins @thugbirdz My NFT Space this is very strong project i trust ✨
$SNS $NSPACE $SOL #SolanaNFT",https://twitter.com/ppgrtn420/status/1466645326563921926,1,0,184,"['solradar_io', 'FortuneFinance_', 'officialcultist', 'SolluminatiNFT', 'PhenomPhoenixes', 'ASTRALAPES', 'TowerDAO', 'peskypenguins', 'thugbirdz']"
4004,Bladee90210,"@YouNeedToCaImdw @AMMARTIOA @thankunzxt @chartdata @onedirection Oh no! My Facebook got hacked I lost my metamask my trust wallet got hacked I lost my metamask I lost my trust wallet got hacked my Instagram got hacked my discord got hacked, NFT. Can someone write me an essay I want this on a t-shirt.",https://twitter.com/Bladee90210/status/1523783302477672450,1,0,6166,"['thankunzxt', 'chartdata', 'onedirection']"
