,Topic,Word,Tweets
0,10,absolutely,@isabellaarnao @NonFungibleRing absolutely.  just give us time to rebalance our rights and possibilities and I hope on the contrary that men will help us to build this path of equality. 💪🏼♥️
1,10,absolutely,"@3dlyfer This is mind blowingly insane. Really appreciate you not taking on the blind-trust aspect, I feel that it could potentially lead to someone out there harming people 🖤 absolutely love this work and will collect asap"
2,10,absolutely,"some think i talk about @artblocks_io a lot because i own many mints &amp; because i'm a small angel investor in it

but i own those works &amp; equity because i believe it will absolutely become one of the most culturally relevant entities in #NFT history

in fact, i think it already is"
3,10,absolutely,"@NFTethics Never said anyone should remain silent.

No one is perfect, we should absolutely be weighing both the good and the bad.

Evaluation is important."
4,10,absolutely,"Ironically the 2 biggest rules for NFTs are:

 - Make friends with everyone
 - Trust absolutely no one"
0,10,action,"7/ We think @NFTherder might create a thread about Zagabond’s blockchain transactions (across the different projects that he was involved in), so we will focus on the IRL relationships. As we said before: https://t.co/l06l1l8clX"
1,10,action,"1/ Someone shared a screenshot of @MetaMansionsNFT’s response to our thread about them. We would like to ask them to show/share all the proof that they have about our interaction with them. Of course there is none, but it’s always interesting to see what they come up with. https://t.co/oAATMXRdq4"
2,10,action,"Through #TrustRecruit, ✅employers can either create their own job posts on which job seekers can apply or they can buy NFT fractions to view the important resumes any time! ✔️📒😀

#NFT #nftresume #nftcv #recruitment #blockchain https://t.co/3LXKppXOMS"
3,10,action,"I don’t trust words, I trust actions ☯️ 🛸   #digitalart #nftart #nft #NFTCommunity #illustration #art #galaxy #quoteoftheday #trust 
Artist @wearelivingart5 https://t.co/5qg1f6oK6n"
4,10,action,2/2 - We did however not see Beanie/GM Capital listed as a formal investor on any of the publicly disclosed funding rounds. Would you be willing to clarify if/how he invested in Fractional and if you are in the process of disassociating from him after his exposure? https://t.co/xvAMJ4LVFZ
0,10,act,"Millions worth of NFTs stolen today after the new OpenSea contract migration. This should be an eye opener to how important it is that we have a wide selection of NFT platforms and always be cautious of what we sign, even with a platform we trust and use regularly"
1,10,act,"10/ We did indeed find that also Gregory Solano also graduated from the University of Maryland, and didn’t find anything about Wylie Aranow, apart from the fact that his father was very (in)famous and some of the info he revealed in interviews (""his gambling-problem days""). https://t.co/LyF9VFtQCQ"
2,10,act,2/2 - We did however not see Beanie/GM Capital listed as a formal investor on any of the publicly disclosed funding rounds. Would you be willing to clarify if/how he invested in Fractional and if you are in the process of disassociating from him after his exposure? https://t.co/xvAMJ4LVFZ
3,10,act,"23/ If you don’t disclose this information, but it is found out by others/algorithms, it can have an impact on your TRUSTH scores. It’s unfortunate that mechanisms and measures like this are necessary, but as we said earlier: https://t.co/SfSzt0fesq"
4,10,act,9/ Indicating possible criminal acts and/or fraud prevention constitute a legitimate interest or should be regarded as a legitimate interest to dox someone and we believe that is the case for this particular individual as this thread will show.
0,10,active,"@SerpentAU The whole gaming/esports scene is completely corrupt(ed) and many of those people are currently active in the NFT space. All pretending to be honest (you exposed Kquid for cheating), but you turned out to be the biggest cheater yourself and denied it first. Very hypocritical. https://t.co/yvanUeMPPX"
1,10,active,"@artskooltourist @Friendswithyou The tweet served the purpose to show that they were ""reasonably early"" active in the NFT space and connected with many currently quite prominent NFT ""influencers""."
2,10,active,". @rollbitcom 

You announced the winner of this BAYC almost a month ago - Why is it still sitting in your wallet? Not looking very transparent.

You should also explain how you used the original mint profit to participate in active Opensea trading of other NFT projects"
3,10,active,"@POODLETOKEN Anyone involved in anon projects that they don't want to see rug should be recommending Assure actively to the devs and in the community!

We are trying to help deter rugs with our KYC #NFT that we provide for project owners! 

More trust to investors!

https://t.co/D1BtxAYAqU"
