Topic,Word,Tweets
0,super,"@nftdraba Great project. Trust the project be super success soon. Congratulations team keep up doing good work 
Go to the moon 🚀🚀🚀

@Aldeantona 
@MRh0904 
@zidan5671 

#DRABA  #BNB #BSC #DEFI #NFT"
0,super,"@BabyAngel_BSC This is excellent project for the future with strong team, a transparent, planned and project roadmap. it will be successfulI.
@Angelp021 @Azisazizi4 @Tothemo26000519 @superwinselalu @Dewaa88 @Juan30861570 @YudhaFebri02 @trexnft 
@MuhairaniA 
#Metaverse #NFT #GameFi #BNB #BSCGems"
0,utility,"In 17 days time over 300 members of the @chains_nft community will be having a networking meet up in dominican republic's Hard Rock Resort!

All inclusive with legendary perks!

Amazing how much a project can provide for its holders in terms of IRL utility aswell as digital 💎❤ https://t.co/eSVcxLK0dW"
0,utility,VERIFY LENS - All in one DYOR tool utility of Verify Token - Bringing Transparency And Accountability To The Crypto Space- https://t.co/1U6fSuZhyv #NFTCommunity #NFTGiveaways #NFT
0,space,"I’ve been so sick of just dudes yapping’ on #nft and #crypto Twitter spaces.

So fresh to see @arminaszone @madebysuni @marmaladebleue @0x7d54 contribute to our @ExpansionPunks spaces 

Bring balance and equality!!!!
#xpunks https://t.co/S1WLgpXIR1"
0,space,"@johnslonk @graslogamer @TroyHiggins17 @trouserstatus @DimWitsNFT @BabafnNFT @Galaxiators @UldorGuardians!!! Let's be loud, let's be proud!! We want to deliver to our communities that we love so much in this #NFT space! #NFTCommunity IS EVERYTHING TO ME! AS WELL AS TRUST!! https://t.co/ExOXB6xnIj"
0,building,"@yoloboydelis @The8point1 I disagree, we know what NFTs are &amp; we are in the space. It's not up to us to get ""our ass up"" as we are here, but are getting less opportunities &amp; bias clearly also has an effect. This is not on women. We're building a whole new virtual world, that can be better than IRL (1/5)"
0,building,"A few weeks back a fren DM’d me to have my feedback on what he was working on. I was the first one liking his first ever Tweet about it. Today he’s building one of the most interesting and diverse NFT projects coming out there. 

Keep an eye on @0xfs7 and @StatusCityNFT 👀"
0,team,"This is excellent project for the future with strong team, a transparent, planned and project roadmap. it will be successfulI. Always be waiting for the progress of this project.

@Khinmyat11 @layy28783 @smile299
#NFT #Airdrop #KILL #MEMEKILLER"
0,team,"@Dracoo_Master This project will be big, because it includes a structured, creative, innovative, compact and transparent team. I hope I can be a part of this great project.

@MdHabib71776842 

@rishibagree 

@ratusweethella 

#GameFi #PlayToEarn #NFT"
0,transparent,"@theNowlAge This is excellent project for the future with strong team, a transparent, planned and project roadmap. it will be successful. and I am here to really support your project.🎉🎉
@Jahidulislamjm
@AdilJubayar
@AnzumAli
#NowlAge #GameFi #NFT #P2E #BSC $NAC
#Play2earn #cryptocurrency"
0,transparent,"@AlienZ_NFT Thank you for the opportunity this is excellent project for the future with strong team, a transparent, planned and project roadmap it will be successful. Always be waiting for the progress of this project

@Rahmatdony7 @CryptoAngel18
@crypto_dicky

Discord user: Kingamino#2603 https://t.co/fsM71ze4pK"
0,project,"The #GreedyPigs allow gamers to tokenized their #NFTs and providing more value to holders.   

We are #NFT and #P2E community project offering players to earn equity while closely collaborating with creators and co-gamers.

Are you ready? Let us know. 
https://t.co/KIjJvXIEza https://t.co/sEB6vcXStp"
0,project,I’ve seen several a promising NFT project collapse because of bad actors (not looking at anyone in particular *cough* solbears ). Ultimately these projects are functions of the community behind them. Integrity + transparency are core components of longevity. Let today be a lesson
