,Tweets,Url,User,file,followersCount,likeCount,metionedUsers,retweetCount
18,Welcome humanity love confirmation bias,https://twitter.com/goku_nft/status/1531099643618131969,goku_nft,bias,15966,1,['crypt0natrix'],0
89,think posted Strong Nodes Sorry happened shared concern Strong scam private group attacked respected nft builder space Bag holder bias real Thank sharing ever want talk dm,https://twitter.com/NFTherder/status/1527903328218370049,NFTherder,bias,42412,11,"['fungibIes', 'Strongblock_io']",0
154,Cultural social significance something play huge role determine value bias concept apply digital item increasingly digital world,https://twitter.com/betty_nft/status/1525416261865177088,betty_nft,bias,86967,61,,4
182,based zacks definition rug every project part rug big nft twitter account hold Azuki amount bias incredible everything hypocritical laughable,https://twitter.com/ColeThereum/status/1524134497242992640,ColeThereum,bias,123007,4,"['Loopifyyy', 'dudistpriest_', 'zachxbt']",0
188,spicy take today news defend notion anonymity Web many working anon many reason including personal safety ability navigate space without bias may follow intersecting identity,https://twitter.com/betty_nft/status/1523907716715925505,betty_nft,bias,86967,497,,39
336,Twitter doesnt give enough character explain bias discrimination marginalisation work theyre thriving sadly,https://twitter.com/betty_nft/status/1518297317543088129,betty_nft,bias,86967,4,['mysavagedogs'],0
420,people experienced tell police much anything behaviour start smaller behaviour often totally accepted joke implicit bias snowball,https://twitter.com/betty_nft/status/1514555179219124224,betty_nft,bias,86967,1,['CAYANCOBRA4'],0
430,Always looking failed project NFT space generalising whole industry bad focusing survivorship bias Startups fail always fail easy start ship sustainable great product create great thing,https://twitter.com/Loopifyyy/status/1514253147002257409,Loopifyyy,bias,201014,139,,15
450,might bias believe building inclusive community web glad apart Changemaker,https://twitter.com/takeupspacehq/status/1513267328879931403,takeupspacehq,bias,3886,2,['ontherockz'],0
501,maybe one reason easier eventsmeetupshouses la v nyc maybe recency bias nft la v nft nyc,https://twitter.com/andr3w/status/1511255292914241539,andr3w,bias,188519,28,,0
526,summary NFT LA perspective put two event one le day notice important Weve shown fuk around stay beginning im bias bullish u,https://twitter.com/BAYC2745/status/1510422745049608195,BAYC2745,bias,191039,1030,['psychedelic_nft'],292
552,Coming NFT LA confirmed bias top tier community,https://twitter.com/PunkieEth/status/1509269084063494144,PunkieEth,bias,25565,142,"['CyberKongz', 'bears_deluxe', 'BitzClub']",18
