,Tweets
18,Welcome humanity love confirmation bias
89,think posted Strong Nodes Sorry happened shared concern Strong scam private group attacked respected nft builder space Bag holder bias real Thank sharing ever want talk dm
154,Cultural social significance something play huge role determine value bias concept apply digital item increasingly digital world
182,based zacks definition rug every project part rug big nft twitter account hold Azuki amount bias incredible everything hypocritical laughable
188,spicy take today news defend notion anonymity Web many working anon many reason including personal safety ability navigate space without bias may follow intersecting identity
336,Twitter doesnt give enough character explain bias discrimination marginalisation work theyre thriving sadly
420,people experienced tell police much anything behaviour start smaller behaviour often totally accepted joke implicit bias snowball
430,Always looking failed project NFT space generalising whole industry bad focusing survivorship bias Startups fail always fail easy start ship sustainable great product create great thing
450,might bias believe building inclusive community web glad apart Changemaker
501,maybe one reason easier eventsmeetupshouses la v nyc maybe recency bias nft la v nft nyc
526,summary NFT LA perspective put two event one le day notice important Weve shown fuk around stay beginning im bias bullish u
552,Coming NFT LA confirmed bias top tier community
725,next NFT pfp collection make eth floor Punks Kongz Apes done next Genuine answer please without bias looking shop
749,recorded first Take Space podcast community spoke amazing autistic queer biracial leader covered Empathetic leadership Unlearning unconscious bias Advice aspiring leader Join discord hear first
816,Womens History Month Party Lets highlight woman artist achievement raise awareness bias NFT art world free stereotype discrimination diversity inclusivity valued celebrated Drop NFT art ETH ETH
832,PSA youve become bagholder youve recently fomod next blue chip nft may risk bagholder bias Side effect may include difficulty staying neutral blurring fact ignoring blockchain fundamental tweeting fud every minute
843,celebrate International woman day th March creating illustration inspiring woman NFT space Nominate tagging handle Lets break bias together
1067,see NFT Twitter survivorship bias Wins talked often congratulated loss hidden
1190,want scream really want scream Im bias ughhh fuckkkkkkkkk ok back
1223,remove human element yes reality space built community culture one didnt magically forget bias discrimination
1248,VRF enabled new era provably fair gaming distribution longer user question integrity random selectionthey publicly verify randomness generated without bias tampering
1309,Respectfully disagree huge amount incredible work doesnt well implicit bias unequal representation gender within space reach equality effort need put amplifying underrepresented group
1332,Cognitive bias NFT market one day seen greatest live experiment behavioral finance imho
1361,keep saying curse knowledge cognitive bias definitely steering cautious whereas time last year newbie gungho would newbie rn let see hopefully caution needed
1421,interesting see evolution art style NFT space project something different fresh seem one rise top Signal bias
1454,OG crypto NFT people paranoid future winter cognitive bias curse knowledge Whats different compared mass adoption proven concept technology utility getting another crypto winter
1570,Transparency fairness key pillar success enabled DAO using VRF shuffle user mint reveal Learn help eliminate bias
1647,clearly E cowboy shirt Smart buy ape approves bias
1724,ego bias seriously need take look mirror Lets forget past allegation faced look Axie second many time completely alienated disregarded community push agenda Many time
1757,Theres number people posting bought Doodles cause said look dumb day ago Understand market never wrong market like Doodles momentum make money NFT trader cant let personal bias get way
1781,PSA youve become NFT bagholder may risk bagholder bias Bagholder bias lead difficulty staying neutral blurring fact ignoring blockchain fundamental tweeting word fud every minute
1814,Anybody make fun people bag illogical bias tribalism pathetic tbh agree havent seen Pengus see different thing NFT avatar gotten competitive think collaborative support better WAGMI
1845,decentralized marketplace AR VRgenerated integrated VRF enable minting random without tampering biasbringing fair exciting gamified element chance process collecting
1856,Ive set seperate Twitter account track NFT datastats follow account far tweet abnormal NFT activity one else Feed noise bias opinion fact
1913,yes Ethereumbased episode recently talk case doesnt mean NFT ecosystem wont emerge become successful believe time high value natural bias towards Ethereum
1932,Ive never seen confirmation bias NFT community Youve immediately demonized thorough guy OpenSea post alleging insider trading Mike Tyson convicted jury peer raping teenage girl pump bag love
1955,anonymity use pfps brings provide safety empowerment marginalised people creating equal playing field folk interact without preexisting bias spilling
1991,Decentraland land plot value future solely due early NFT project ton land cant help bias take thing Cryptovoxels Somnium Space hmm
2074,familiar survivorship bias worth reading real NFT especially twitter discord amplifying everything everyone see flipping way punk there many lost ass see
2075,Haha nifty rekt LOT people Timing important early right project take lot research conviction luck lot survivorship bias
2078,Im obviously seeking confirmation bias Id say higher
2102,thing Ive trusted learn NFT space mistake Minimal reading experimenting Might cost money time learning raw come opinion bias
2106,Theres rarely thing overnight success Almost artist Ive seen crush NFT grinned year decade Often total obscurity Creating ream work nobody look x Keep mind hard Survivor bias real
2128,highlight bias towards certain people project curious position supposedly decentralized NFT platform who lawyer say need KYC AML check decentralized take
2129,enter Blacksquare free prejudice Blacksquare stand kind discrimination racism war oppression Blacksquare OBEY
2402,strongly believe best platform giving creator equal opportunity algorithm within TikTok unmatched recommends content whether follower million discrimination like platform
2459,Theres fine line condemning cancel culture cultural insensitivity someone hasnt personally suffered discrimination life judge Im freedom belief branding everything cancel culture right
2467,Perpetuating hatred marginalised already atrisk people cannot accepted religious freedom contribute discrimination
2685,Absolutely think real life privilege discrimination still affecting space though Im keen see community work erode
2698,appreciate sentiment ask leave gender anything opinion undermine fact many people experience real discrimination based gendergender expression Id rather move forward acknowledging imbalance
2787,first live guest lecture part Beginners Web Playbook helping upskill community diverse leader
2790,DIVERSE METAVERSE item owner floor price STEP WORLD open monthly airdrop NFT holder
2866,stay diverse looking ahead tech Doesnt mean believe COULD future mean setting variable
2875,Changemaker found new home brilliant George Gillette LinkedIn Big welcome George thank supporting joining diverse inclusive community web
2890,DIVERSE X ANKH giving away x Whitelist spot enter Follow Like Retweet Tag friend Ends hour good luck
